Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Ashton Putney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 7:12:52 PM,1766085172,Fastball,Y,1.82,25.3,90.03,2037.2,1953.5,95.89,1:36,1,15.9,16.5,-,-,-,-,3.16,-2.08,5.55,1.7,16.48,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 7:12:36 PM,1766085156,CurveBall,Y,-9.26,20.43,74.3,2014.92,1418.5,70.4,7:18,1,0.8,-6.1,-,-,-,-,2.22,0.76,5.3,1.84,45.25,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 7:12:25 PM,1766085145,Fastball,N,15.25,25.57,89.43,2011.63,1954.4,97.16,1:38,1,16.5,18.9,-,-,-,-,2.24,-2.03,5.54,1.8,13.7,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 7:12:14 PM,1766085134,ChangeUp,N,26.72,9.6,78.36,1634.85,1507,92.18,2:14,1,14.5,19.9,-,-,-,-,1.93,-2.05,5.07,2.36,22.81,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 7:12:03 PM,1766085123,Fastball,N,3.93,15.42,88.26,2172.56,2087,96.06,1:38,1,20.9,17.2,-,-,-,-,3.39,-3.2,5.38,2.06,16.13,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 7:11:39 PM,1766085099,CurveBall,N,-5.1,-20.29,73.88,1971.98,1282.8,65.05,7:06,1,-8.5,-3.6,-,-,-,-,2.18,-2.46,5.39,1.95,49.42,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 7:11:28 PM,1766085088,CurveBall,N,12.98,47.12,72.73,1810.62,1283.5,70.89,7:16,1,3,-1.6,-,-,-,-,0.73,3.02,5.21,1.9,44.85,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 7:11:12 PM,1766085072,Fastball,N,-3.19,14.14,89.35,2120.51,2048.3,96.6,1:18,1,25.9,15.3,-,-,-,-,3.39,-4.03,5.57,1.63,14.99,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 7:10:59 PM,1766085059,Fastball,N,-7.33,-4.43,89.49,1939.73,1897.6,97.83,1:52,1,10.9,20.9,-,-,-,-,4.64,-4.22,5.61,2.08,11.96,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 7:10:13 PM,1766085013,Fastball,Y,1.85,21.04,89.3,2176.91,1725.2,79.25,1:28,0.5,25.7,14.4,-,-,-,-,3.02,-3.45,5.55,1.78,-37.58,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Thu Dec 18 2025 7:10:01 PM,1766085001,CurveBall,N,1.01,16.51,76.93,2139.49,1537.4,71.86,7:14,1,2.3,-3.5,-,-,-,-,1.76,-0.29,5.43,2.06,44.06,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Thu Dec 18 2025 7:09:45 PM,1766084985,CurveBall,N,-23.97,19.09,79.4,2254.54,1503.2,66.67,7:04,1,2.5,-0.9,-,-,-,-,3.8,-0.25,5.34,1.66,48.18,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Thu Dec 18 2025 7:09:32 PM,1766084972,ChangeUp,N,17.1,11.06,78.31,1482.17,935,63.08,2:22,1,10.1,22.6,-,-,-,-,2.94,-1.36,4.98,2.3,50.89,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Thu Dec 18 2025 7:09:20 PM,1766084960,ChangeUp,N,11.66,9.37,79.23,1639.54,1493.1,91.07,2:12,1,18.9,18,-,-,-,-,3.13,-2.4,5.11,2.46,24.4,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Thu Dec 18 2025 7:08:56 PM,1766084936,Fastball,Y,-4.1,18.72,91.76,2103.26,1151,54.73,2:34,0.5,19.5,16.7,-,-,-,-,3.95,-3.03,5.56,2,56.82,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
