Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Austin Barton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 6:00:57 PM,1766080857,Fastball,N,10.89,45.35,88.1,1756.45,1634.4,93.05,12:02,0.5,20.9,9.2,-,-,-,-,1.39,-1.29,6.17,1.44,21.49,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 6:00:44 PM,1766080844,Fastball,N,-14.52,28.22,87.97,2133.09,2130.5,99.88,1:54,0.5,20.5,5.4,-,-,-,-,3.24,-2.69,6.09,1.39,2.82,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 6:00:30 PM,1766080830,Fastball,Y,4.53,36.89,88.94,1508.63,1320.4,87.53,12:20,0.5,19.2,3.5,-,-,-,-,1.46,-1.66,6.1,1.49,28.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 6:00:18 PM,1766080818,CurveBall,N,14.41,28.63,75.05,2273.42,1752.8,77.1,7:26,1,-5.5,-17.2,-,-,-,-,-0.74,1.12,5.93,1.93,39.55,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 6:00:04 PM,1766080804,Fastball,N,-10.35,16.55,87.67,2005.36,1803.5,89.94,12:30,1,21.6,5.1,-,-,-,-,3.12,-3.88,6.29,1.68,25.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 5:59:52 PM,1766080792,CurveBall,N,14.5,22.6,76.13,2273.06,1696.9,74.65,7:28,1,-1.3,-14.3,-,-,-,-,-0.39,0.22,5.87,2.03,41.71,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 5:59:40 PM,1766080780,Fastball,N,-11.03,43.11,89.54,1921.82,1738.8,90.48,12:02,1,20.5,1.3,-,-,-,-,2.63,-1.35,6.04,1.44,25.21,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 5:59:29 PM,1766080769,ChangeUp,N,15.72,30.26,82.88,1549.15,1462.3,94.39,12:44,1,21.5,14.6,-,-,-,-,1.58,-2.13,6.08,1.59,19.28,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 5:59:16 PM,1766080756,Fastball,N,-20.76,33.78,89.55,1879.34,1878.6,99.96,12:40,0.5,21.2,5.8,-,-,-,-,4.02,-2.36,6.14,1.57,-1.56,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 5:58:27 PM,1766080707,Fastball,Y,2.78,40.09,88.65,1938.26,1761,90.85,12:04,1,20.3,6.6,-,-,-,-,1.9,-1.82,6.1,1.44,24.7,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
