Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Brady Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 8:47:00 PM,1766090820,Fastball,N,24.1,20.51,82.99,2018.16,1974.3,97.83,1:56,1,14.1,15.5,-,-,-,-,0.8,-1.66,5.45,1.48,11.97,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,BradyCase,high_intent,-
2,Thu Dec 18 2025 8:46:49 PM,1766090809,Fastball,N,19.41,27.67,83.05,1986.03,1896.5,95.49,1:46,1,23.7,16.4,-,-,-,-,1.4,-1.75,5.23,1.56,17.27,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,BradyCase,high_intent,-
3,Thu Dec 18 2025 8:46:36 PM,1766090796,CurveBall,N,-33.19,12.69,75.79,2368.55,1759.8,74.3,7:20,1,2,-2.3,-,-,-,-,4.29,-0.29,5.33,1.52,42.01,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,BradyCase,high_intent,-
4,Thu Dec 18 2025 8:46:24 PM,1766090784,Fastball,N,22.81,21.57,83.11,1996.22,1860,93.18,1:26,1,12.9,16.9,-,-,-,-,1.11,-1.24,5.22,1.55,21.29,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,BradyCase,high_intent,-
5,Thu Dec 18 2025 8:46:08 PM,1766090768,CurveBall,N,-29.57,9.76,75.62,2462.42,1796.6,72.96,7:20,1,3,-3.6,-,-,-,-,3.72,-0.8,5.37,1.37,43.15,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,BradyCase,high_intent,-
6,Thu Dec 18 2025 8:45:56 PM,1766090756,Fastball,Y,-2.36,34.51,83.25,1987.27,1851.1,93.15,1:42,1,24.2,15.3,-,-,-,-,2.99,-1.31,5.36,1.34,21.33,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,BradyCase,high_intent,-
7,Thu Dec 18 2025 8:45:44 PM,1766090744,Fastball,Y,4.2,30.26,84.46,2229.64,2071,92.89,1:30,1,25.1,13.9,-,-,-,-,2.42,-1.81,5.42,1.49,21.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,BradyCase,high_intent,-
8,Thu Dec 18 2025 8:45:03 PM,1766090703,Fastball,N,21.17,36.89,83.12,2141.64,1996.9,93.24,1:18,1,22.4,12.9,-,-,-,-,0.89,-0.72,5.22,1.52,21.19,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,BradyCase,high_intent,-
9,Thu Dec 18 2025 8:44:52 PM,1766090692,Fastball,N,0.35,0.43,78.98,1821.08,1783.7,97.95,2:04,1,15.6,17.6,-,-,-,-,3.2,-3.05,5.38,1.61,11.63,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,BradyCase,high_intent,-
10,Thu Dec 18 2025 8:44:39 PM,1766090679,Fastball,N,15.63,34.7,83.98,1770.82,1551.3,87.6,1:40,0.5,19.3,9.5,-,-,-,-,0.89,-0.91,5.33,1.35,28.83,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,BradyCase,high_intent,-
