Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Brendan Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 5:22:30 PM,1765041750,Fastball,N,21.68,32.52,76.52,1821.43,1681.5,92.32,7:56,1,4.2,-17.3,-,-,-,-,-6.4,1.21,5.25,-2.98,-22.61,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
2,Sat Dec 06 2025 5:22:17 PM,1765041737,Fastball,Y,4.33,22.77,68.51,1434.34,1429.7,99.68,9:54,1,-1.7,-19.9,-,-,-,-,-5.24,2.14,5.14,-3.04,-4.6,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
3,Sat Dec 06 2025 5:22:03 PM,1765041723,Fastball,N,-20.1,33.5,65.49,1738.12,1218.8,70.12,4:18,1,-24.7,15.6,-,-,-,-,-0.15,4.94,5.58,-3.13,-45.48,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
4,Sat Dec 06 2025 5:21:47 PM,1765041707,Slider,Y,-8.06,40.38,64.34,1818.5,1069.3,58.8,4:02,1,-12.7,8.2,-,-,-,-,-1.68,5.24,5.24,-2.99,-53.98,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
5,Sat Dec 06 2025 5:21:28 PM,1765041688,CurveBall,N,-16.66,39.89,64.58,1701.91,961.8,56.51,4:08,1,-18.8,9.3,-,-,-,-,-1.11,5.65,5.31,-3.26,-55.59,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
6,Sat Dec 06 2025 5:21:15 PM,1765041675,Fastball,N,-4.09,17.99,72.03,1825.14,1807.4,99.03,9:56,1,4.2,-23.6,-,-,-,-,-5.02,0.52,5.26,-3.27,-7.99,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
7,Sat Dec 06 2025 5:21:01 PM,1765041661,TwoSeamFastball,Y,-6.09,34.94,70.99,1385.23,1322.7,95.48,10:04,1,3.9,-19.3,-,-,-,-,-4.28,1.9,5.25,-2.98,-17.28,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
8,Sat Dec 06 2025 5:20:39 PM,1765041639,Fastball,N,24.9,9.75,71.25,1438.8,1318.2,91.61,9:56,1,17.4,-14.8,-,-,-,-,-6.61,-1.16,5.23,-3.23,-23.63,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
9,Sat Dec 06 2025 5:20:22 PM,1765041622,Slider,Y,-2.76,38.84,62.28,1832.48,1009.5,55.09,3:06,1,3.8,5.6,-,-,-,-,-2.62,3.95,5.29,-3.26,-56.57,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
10,Sat Dec 06 2025 5:20:08 PM,1765041608,Slider,N,-8.95,43.52,63.09,-,-,-,-,0,-3.3,7.4,-,-,-,-,-1.97,4.63,5.4,-3.34,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
11,Sat Dec 06 2025 5:19:18 PM,1765041558,Fastball,Y,0.61,21.81,71.23,1735.38,1642.7,94.66,10:00,1,15.2,-20.2,-,-,-,-,-5.17,0.12,5.24,-3.35,-18.81,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
12,Sat Dec 06 2025 5:19:04 PM,1765041544,CurveBall,N,-18.65,42.9,62.76,1713.71,1290.4,75.3,3:40,1,-11.1,18.6,-,-,-,-,-0.12,6,5.09,-3.23,-41.15,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
13,Sat Dec 06 2025 5:18:44 PM,1765041524,CurveBall,N,-14.76,35.81,62.83,1731.85,552,31.87,5:42,1,-13.9,12.3,-,-,-,-,-0.99,5.13,5.3,-3.22,-71.41,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
14,Sat Dec 06 2025 5:18:30 PM,1765041510,CurveBall,N,-27.13,37.1,62.55,1611.19,878.8,54.54,6:00,1,-13.5,11.3,-,-,-,-,0.08,5.23,5.22,-3.12,-56.95,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
15,Sat Dec 06 2025 5:18:18 PM,1765041498,ChangeUp,N,-3.5,12.77,66.7,1293.04,1285.4,99.41,9:56,1,-1.6,-22.2,-,-,-,-,-4.82,1.55,5.16,-3.13,-6.23,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
16,Sat Dec 06 2025 5:18:07 PM,1765041487,ChangeUp,N,2.81,15.67,66.14,1396.04,1392.5,99.75,9:36,1,-0.1,-20.4,-,-,-,-,-5.41,1.75,5.15,-3.31,-4.09,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
17,Sat Dec 06 2025 5:17:53 PM,1765041473,Fastball,Y,-6.79,25.53,72.21,1677.66,1586.2,94.55,9:56,1,3.3,-21.1,-,-,-,-,-4.47,1.29,5.22,-3.18,-19.01,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
18,Sat Dec 06 2025 5:17:41 PM,1765041461,Fastball,Y,-8.8,32.85,68.93,1702.41,1650.2,96.93,9:54,1,9.2,-24.8,-,-,-,-,-4.65,1.69,5.36,-3.21,-14.23,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
19,Sat Dec 06 2025 5:17:28 PM,1765041448,Fastball,Y,9.79,26.15,70.42,1419.91,1339.7,94.35,9:58,1,0.6,-20.2,-,-,-,-,-5.74,1.75,5.36,-3.11,-19.35,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
20,Sat Dec 06 2025 5:17:16 PM,1765041436,Fastball,N,15.53,13.38,70.37,1704.36,1328.6,77.95,9:22,1,8.8,-23.4,-,-,-,-,-6.53,-0.24,5.39,-3.11,-38.78,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
21,Sat Dec 06 2025 5:17:06 PM,1765041426,Fastball,Y,-0.8,31.74,71.31,1767.62,1662.6,94.06,10:00,1,6.9,-23.8,-,-,-,-,-5.03,1.53,5.27,-2.97,-19.85,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Brendan,high_intent,-
