Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Bryce Mashanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 5:32:41 PM,1766079161,Fastball,N,3.3,43.04,85,2037.74,1925.7,94.5,12:36,0.5,16.4,11,-,-,-,-,0.89,-0.02,5.46,0.2,19.09,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 5:32:26 PM,1766079146,ChangeUp,N,20.12,19.32,75.77,1194.35,1186.3,99.33,2:06,1,9.6,16.7,-,-,-,-,0.51,-0.5,5.2,0.76,6.64,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 5:32:12 PM,1766079132,TwoSeamFastball,Y,4.3,32.12,84.77,2112.3,2004,94.87,1:08,1,20.7,11.8,-,-,-,-,0.84,-1.68,5.64,0.17,-18.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 5:31:54 PM,1766079114,CurveBall,N,-5.09,-7.79,73.02,2309.15,2093.8,90.67,7:00,1,-6.5,-6.2,-,-,-,-,0.09,-1.26,5.59,0.18,24.94,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 5:31:17 PM,1766079077,Fastball,Y,6.45,34.32,83.84,1941.24,1750.8,90.19,12:06,1,16.4,6.4,-,-,-,-,0.58,-0.71,5.49,0.55,25.59,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 5:31:02 PM,1766079062,Slider,Y,3.01,34.91,73.81,2144.31,1720.7,80.25,9:44,1,7.7,-14.1,-,-,-,-,-0.94,1.4,5.39,0.53,36.63,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 5:30:47 PM,1766079047,ChangeUp,N,14.36,31.29,75.72,1145.62,1081.6,94.41,2:20,1,10.5,13.8,-,-,-,-,0.81,0.73,5.15,0.81,19.24,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 5:30:33 PM,1766079033,ChangeUp,N,15.98,41.98,77.19,1092.4,1064.5,97.45,1:48,1,10.6,15.8,-,-,-,-,0.66,1.59,5.1,0.65,12.97,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 5:30:19 PM,1766079019,Slider,Y,3.97,36.32,72.12,2085.73,2082.4,99.84,9:36,1,-4.8,-8.5,-,-,-,-,-0.91,2.49,5.46,0.18,-3.25,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 5:30:05 PM,1766079005,TwoSeamFastball,N,7.11,42.58,84.55,2396.2,2238.1,93.4,12:32,1,18.7,14.2,-,-,-,-,0.91,-0.49,5.52,0.27,20.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Thu Dec 18 2025 5:29:38 PM,1766078978,Fastball,Y,0.16,36.24,85.13,2092.93,2043.6,97.64,1:48,0.5,18.4,10.2,-,-,-,-,1.3,-0.8,5.49,0.39,12.47,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Thu Dec 18 2025 5:29:20 PM,1766078960,Fastball,N,8.14,61.4,85.15,2042.73,1903.6,93.19,12:14,0.5,21.4,6.1,-,-,-,-,0.34,1.01,5.48,0.49,21.27,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Thu Dec 18 2025 5:29:06 PM,1766078946,Fastball,N,-13.53,28.93,84.57,2116.74,1861.4,87.94,12:26,1,20.7,5.7,-,-,-,-,2.21,-1.71,5.59,0.51,28.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Thu Dec 18 2025 5:28:52 PM,1766078932,Fastball,Y,-6.74,39.34,84.63,1957.4,1753.2,89.57,12:08,0.5,17.9,7.5,-,-,-,-,1.55,-0.67,5.52,0.28,26.4,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Thu Dec 18 2025 5:28:34 PM,1766078914,Fastball,Y,1.2,36.3,85.99,2012.65,1900.7,94.44,12:32,1,18.9,11,-,-,-,-,1.1,-1.11,5.59,0.22,19.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
