Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Cameron Gruarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 8:22:44 PM,1766089364,Fastball,N,-18.89,-1.71,91.32,2136.48,1929.4,90.31,12:34,1,19.1,11.7,-,-,-,-,4.32,-5.49,6.36,1.58,25.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CamGruarin,high_intent,-
2,Thu Dec 18 2025 8:22:26 PM,1766089346,ChangeUp,N,-10.4,-64.84,82.06,-,-,-,-,0,-,-,-,-,-,-,-3.07,0.27,5.48,1.13,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CamGruarin,high_intent,-
3,Thu Dec 18 2025 8:22:08 PM,1766089328,Fastball,N,3.36,7.93,89.8,2043.86,1888.5,92.4,12:56,1,23.4,10,-,-,-,-,2.52,-4.93,6.29,1.85,22.49,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CamGruarin,high_intent,-
4,Thu Dec 18 2025 8:21:49 PM,1766089309,CurveBall,N,-11.85,6.09,77.25,2193.11,2181.9,99.49,7:06,1,-8.3,-8.2,-,-,-,-,1.75,-0.92,6.06,1.35,5.8,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CamGruarin,high_intent,-
5,Thu Dec 18 2025 8:21:30 PM,1766089290,CurveBall,N,-16.72,20.39,76.57,2240.27,2225.1,99.32,6:38,1,-11,-4.6,-,-,-,-,2.17,0.86,5.95,1.05,6.67,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CamGruarin,high_intent,-
6,Thu Dec 18 2025 8:21:17 PM,1766089277,Fastball,Y,-9.44,34.67,92.42,1935.01,1731.5,89.48,12:48,1,17.3,8.6,-,-,-,-,3.37,-2.13,6.07,1.66,26.51,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CamGruarin,high_intent,-
7,Thu Dec 18 2025 8:21:03 PM,1766089263,Fastball,N,-4.44,2.61,93.06,2087.6,1947.9,93.31,1:16,1,19.7,12.8,-,-,-,-,2.91,-5.21,6.33,1.34,21.08,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CamGruarin,high_intent,-
8,Thu Dec 18 2025 8:20:17 PM,1766089217,ChangeUp,N,28.51,23.38,84.64,1731.43,1681.5,97.12,1:46,1,17.8,10.6,-,-,-,-,0.45,-2.42,6.05,1.92,13.79,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CamGruarin,high_intent,-
9,Thu Dec 18 2025 8:20:00 PM,1766089200,Fastball,Y,-1.35,36.31,91.97,1508.34,1476.8,97.91,1:26,1,22.3,9.8,-,-,-,-,2.42,-2.47,6.18,1.35,11.73,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CamGruarin,high_intent,-
10,Thu Dec 18 2025 8:19:43 PM,1766089183,CurveBall,Y,3.27,22.37,76.69,2095.81,2095.8,100,6:34,1,-10.6,-5.4,-,-,-,-,0.6,0.67,6.12,1.3,-0.42,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CamGruarin,high_intent,-
