Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Charlie Chubak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 5:52:58 PM,1766080378,Fastball,N,20.46,44.15,84.45,1462.54,463.3,31.67,2:22,0.5,13.3,26,-,-,-,-,3.46,0.78,5.07,2.87,71.53,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 5:52:45 PM,1766080365,Fastball,N,8.38,50.22,85.84,2401.83,2315.5,96.4,1:46,1,16.7,23.5,-,-,-,-,4.26,0.66,5.34,2.8,15.41,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 5:52:29 PM,1766080349,Slider,Y,7.07,20.67,71.02,2556.78,1910.8,74.73,7:28,1,0.7,-6,-,-,-,-,2.25,0.92,5.29,3.24,41.64,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 5:52:14 PM,1766080334,Slider,N,22.11,32.56,71.33,2130.31,1328.1,62.34,6:34,0.5,-7.8,-3.6,-,-,-,-,1.26,2.56,5.39,3.36,51.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 5:52:00 PM,1766080320,Slider,Y,7.61,29.26,73.59,2240.16,1217,54.32,6:58,1,0.7,-2.2,-,-,-,-,2.45,1.42,5.37,3.19,57.1,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 5:51:45 PM,1766080305,ChangeUp,N,-4.39,3.34,74.24,1238.78,1054.9,85.16,1:48,1,13,14.5,-,-,-,-,5.03,-2.07,5.43,3.24,31.62,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 5:51:33 PM,1766080293,ChangeUp,N,35.41,13.69,74.74,1414.2,1365.9,96.59,1:24,1,13.1,9.5,-,-,-,-,0.58,-1.22,5.41,2.72,15.01,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 5:51:20 PM,1766080280,TwoSeamFastball,Y,9.52,32.04,84.8,2412.05,2331.3,96.65,1:50,1,10.1,25.6,-,-,-,-,4.74,-0.06,5.12,3.2,14.87,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 5:50:30 PM,1766080230,TwoSeamFastball,N,31.67,35.27,85.45,2564.12,2067.7,80.64,1:38,0.5,14.6,23.4,-,-,-,-,2.5,-0.47,5.43,3.09,-36.25,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 5:50:11 PM,1766080211,Slider,N,-12.67,13.46,71.91,2284.87,1732.3,75.82,7:18,1,0.9,-3.1,-,-,-,-,4.2,0.56,5.21,3.25,40.7,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
