Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Cole Penner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 7:40:43 PM,1765050043,Fastball,N,-8.4,51.2,77.33,1667.82,1609.8,96.52,1:56,0.5,16.9,12.9,-,-,-,-,1.17,1.21,5.88,-0.62,15.15,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
2,Sat Dec 06 2025 7:40:20 PM,1765050020,Fastball,N,32.53,72.9,74.85,1975.52,1137.4,57.58,12:10,1,6,14.8,-,-,-,-,-2.03,3.85,5.98,-0.45,54.85,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
3,Sat Dec 06 2025 7:40:04 PM,1765050004,CurveBall,N,-19.94,34.45,68.4,1272.26,493,38.75,4:36,1,-2.3,-0.9,-,-,-,-,1.19,3,5.54,-0.43,67.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
4,Sat Dec 06 2025 7:39:47 PM,1765049987,CurveBall,N,-26.71,37.86,69.96,1573.85,702.3,44.62,4:22,1,1.4,-4.5,-,-,-,-,1.36,2.49,5.62,-0.54,63.5,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
5,Sat Dec 06 2025 7:39:29 PM,1765049969,ChangeUp,Y,8.21,24.6,67.94,1151.01,1107.9,96.25,2:24,1,9,12.7,-,-,-,-,0.05,1.04,5.43,-0.32,15.73,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
6,Sat Dec 06 2025 7:39:10 PM,1765049950,Fastball,N,36.9,54.27,77.51,1607.45,1607.4,100,1:50,1,6.7,15.6,-,-,-,-,-2.13,2.19,5.83,-0.36,-0.08,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
7,Sat Dec 06 2025 7:38:52 PM,1765049932,CurveBall,N,-31.68,8.95,69.45,1416.95,791.2,55.83,4:12,1,0,-4.7,-,-,-,-,1.71,0.43,5.6,-0.55,56.06,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
8,Sat Dec 06 2025 7:38:34 PM,1765049914,Fastball,N,24.49,50.62,75.33,1722.87,1643.9,95.42,12:54,1,17.4,19.8,-,-,-,-,-1.02,1.52,5.8,-0.61,17.42,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
9,Sat Dec 06 2025 7:38:15 PM,1765049895,ChangeUp,N,-12.27,9.75,69.97,1319.73,1318.1,99.88,2:24,1,9.1,11.9,-,-,-,-,1.63,-0.68,5.57,-0.43,2.83,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
10,Sat Dec 06 2025 7:37:57 PM,1765049877,ChangeUp,N,23.79,12.18,70.37,1399.01,1397.6,99.9,2:22,1,13.3,19.2,-,-,-,-,-0.69,-0.79,5.51,-0.28,2.54,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
11,Sat Dec 06 2025 7:37:35 PM,1765049855,TwoSeamFastball,Y,-2.72,31.15,75.76,1610.46,1517.7,94.24,1:36,1,10.8,16.2,-,-,-,-,1.14,0.28,5.65,-0.46,19.54,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
12,Sat Dec 06 2025 7:37:16 PM,1765049836,Fastball,N,1.81,44.4,75.2,1682.61,1595.3,94.81,1:58,1,12,17.5,-,-,-,-,0.73,1.34,5.71,-0.6,18.54,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
13,Sat Dec 06 2025 7:36:58 PM,1765049818,CurveBall,N,-19.27,30.41,70.15,1533.39,455.4,29.7,6:22,1,0.4,-0.4,-,-,-,-,1.14,2.12,5.53,-0.45,72.72,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
14,Sat Dec 06 2025 7:36:40 PM,1765049800,ChangeUp,N,21.74,39.26,70.42,1239.39,1177.4,95,2:00,1,6.7,17.4,-,-,-,-,-0.68,2.26,5.48,-0.3,18.19,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
15,Sat Dec 06 2025 7:36:20 PM,1765049780,TwoSeamFastball,N,46.4,42.2,77.01,1685.4,1683,99.86,1:52,1,14.1,18.9,-,-,-,-,-2.79,0.78,5.73,-0.44,-3.04,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
16,Sat Dec 06 2025 7:35:47 PM,1765049747,ChangeUp,Y,4.02,27.04,69.4,1487.54,1219.4,81.98,2:12,1,9.4,12,-,-,-,-,0.27,0.98,5.68,-0.4,34.94,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
17,Sat Dec 06 2025 7:35:29 PM,1765049729,Fastball,Y,-0.97,38.87,78.82,1567.45,1477.1,94.24,1:30,1,15.1,18.6,-,-,-,-,1.31,0.2,5.73,-0.35,19.55,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
18,Sat Dec 06 2025 7:35:11 PM,1765049711,CurveBall,Y,5.11,40.3,68.94,1368.72,494.3,36.11,4:48,1,-0.4,-5.4,-,-,-,-,-1.45,3.24,5.49,-0.52,68.83,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
19,Sat Dec 06 2025 7:34:41 PM,1765049681,Fastball,N,-1.85,69.79,76.45,1869.23,1817.5,97.23,1:58,1,17.4,13.7,-,-,-,-,0.93,2.87,5.75,-0.39,13.51,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
20,Sat Dec 06 2025 7:34:23 PM,1765049663,CurveBall,Y,-9.1,18.69,71,1479.68,560.6,37.89,4:24,1,0.9,-4.6,-,-,-,-,-0.16,0.83,5.6,-0.53,67.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
21,Sat Dec 06 2025 7:34:04 PM,1765049644,Fastball,N,21.91,34.51,77.68,1469.46,1398.7,95.19,12:50,1,10.6,19.1,-,-,-,-,-0.57,0.6,5.53,-0.32,17.85,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
22,Sat Dec 06 2025 7:33:38 PM,1765049618,TwoSeamFastball,N,-27.35,59.24,77.02,1715.16,1632.1,95.15,2:08,1,15.2,6.7,-,-,-,-,2.44,2.24,5.73,-0.4,17.91,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
23,Sat Dec 06 2025 7:33:20 PM,1765049600,ChangeUp,Y,-4.34,24.51,71.56,1399.34,1331.3,95.14,2:32,1,8,13.5,-,-,-,-,1.14,0.51,5.68,-0.37,17.94,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
24,Sat Dec 06 2025 7:33:01 PM,1765049581,ChangeUp,N,2.48,9.37,70.8,1464.92,1459.5,99.63,2:26,1,7.6,15.1,-,-,-,-,0.57,-0.52,5.49,-0.5,4.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
25,Sat Dec 06 2025 7:32:43 PM,1765049563,TwoSeamFastball,N,3.76,44.55,77.96,1728.56,1685.8,97.52,1:58,1,14.8,16.5,-,-,-,-,0.65,0.82,5.62,-0.43,12.78,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
26,Sat Dec 06 2025 7:32:28 PM,1765049548,TwoSeamFastball,N,10.06,34.37,76.66,1458.52,1369.8,93.91,1:26,1,10.9,18.3,-,-,-,-,0.19,0.32,5.73,-0.5,20.09,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
27,Sat Dec 06 2025 7:32:10 PM,1765049530,Fastball,N,23.62,35.44,77.03,1574.1,1526.8,97,2:00,1,14.8,19.3,-,-,-,-,-0.81,-0.05,5.72,-0.41,14.08,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
28,Sat Dec 06 2025 7:31:54 PM,1765049514,Fastball,N,3.31,53.65,77.05,1521.79,1477.2,97.07,1:40,0.5,14,18.6,-,-,-,-,0.75,1.45,5.93,-0.54,13.9,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
29,Sat Dec 06 2025 7:31:39 PM,1765049499,Fastball,Y,9.64,31.48,76.98,1642.42,1639.6,99.83,1:52,1,16.9,19.2,-,-,-,-,0.36,-0.51,5.84,-0.45,3.33,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
30,Sat Dec 06 2025 7:31:25 PM,1765049485,Fastball,N,6.58,48.03,76.92,1633.17,1553.6,95.13,1:56,1,16.5,16.7,-,-,-,-,0.41,1.08,5.81,-0.44,17.96,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
31,Sat Dec 06 2025 7:31:10 PM,1765049470,Fastball,N,-21.52,50.87,76.77,1563.85,1467.2,93.82,1:58,1,18.8,14.9,-,-,-,-,2.76,0.88,5.82,-0.38,20.25,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Colepenner,high_intent,-
