Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Cooper Polcovich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 6:47:17 PM,1766083637,Fastball,N,19.51,24.14,85.45,2084.4,2016.5,96.74,11:04,0.5,20.3,-8.8,-,-,-,-,-3.87,-2.67,5.81,-1.23,-14.67,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 6:46:53 PM,1766083613,Fastball,N,4.05,42.5,84.25,2036.87,1987.5,97.58,12:58,0.5,14.5,-2.3,-,-,-,-,-1.66,-0.36,5.86,-1.02,-12.64,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 6:46:35 PM,1766083595,ChangeUp,Y,-6.57,33.02,69.9,2942.12,2505.4,85.16,9:04,1,10.2,-12,-,-,-,-,-2.38,0.8,5.89,-1.78,31.62,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 6:46:16 PM,1766083576,Slider,N,14.3,30.75,75.06,2023.09,1858.3,91.85,2:06,1,10,8.2,-,-,-,-,-2.45,0.35,5.61,-1.8,-23.29,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 6:46:00 PM,1766083560,Knuckleball,N,-9.82,42.51,70.02,1637.41,1181.4,72.15,10:36,1,7.6,-10.5,-,-,-,-,-1.81,1.83,5.84,-1.63,-43.82,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 6:45:45 PM,1766083545,CurveBall,N,10.83,37.75,73,1969.27,1206.9,61.29,2:14,1,11.2,8.8,-,-,-,-,-2,0.42,5.97,-1.7,-52.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 6:45:30 PM,1766083530,CurveBall,N,-13.33,14.87,69.28,-,-,-,-,0,-6.4,-7.1,-,-,-,-,-1.51,0.84,5.76,-1.92,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 6:44:52 PM,1766083492,Fastball,Y,-0.24,29.02,84.83,2019.71,1936.1,95.86,10:42,1,18.6,-10,-,-,-,-,-2.6,-2.22,5.9,-1.6,-16.54,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 6:44:37 PM,1766083477,Slider,N,24.97,25.31,76.04,1919.21,1742.5,90.79,12:56,1,13.4,3,-,-,-,-,-4.12,-0.7,5.59,-2.04,-24.78,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 6:44:22 PM,1766083462,Other,N,-12.91,7.32,70.69,-,-,-,-,0,-8.3,-3,-,-,-,-,-0.93,0.34,5.62,-1.7,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
