Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Derek Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 7:24:34 PM,1766085874,Fastball,N,20.45,22.49,93.04,2296.05,2198.3,95.74,1:44,1,13.8,18.1,-,-,-,-,2.16,-2.4,5.57,2.22,16.78,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 7:24:17 PM,1766085857,Fastball,Y,6.43,31.7,92.72,1953.42,1811.7,92.74,1:34,1,15.7,16.4,-,-,-,-,3.21,-1.6,5.52,2.19,21.96,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 7:24:04 PM,1766085844,ChangeUp,N,25.71,23.97,83.58,1740.75,1664.3,95.61,2:12,1,10,16.9,-,-,-,-,1.81,-1.11,5.42,2.44,17.05,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 7:23:47 PM,1766085827,Fastball,N,13.14,2.01,93.04,2173.57,2072.5,95.35,1:38,1,13.6,19.7,-,-,-,-,3.05,-4.04,5.69,2.38,17.54,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 7:23:34 PM,1766085814,ChangeUp,N,8.7,13.11,82.86,1839.35,1716.8,93.34,2:26,1,7.8,20.2,-,-,-,-,3.66,-1.65,5.25,2.45,21.03,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 7:23:19 PM,1766085799,Slider,N,-18.23,20.71,80.15,2383.6,1410.2,59.16,10:04,1,7.7,-11.8,-,-,-,-,3.03,-0.49,5.33,2.35,53.73,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 7:23:07 PM,1766085787,Fastball,Y,8.89,26.72,92.15,2029.67,1941.8,95.67,1:50,1,12,16.2,-,-,-,-,3.23,-1.36,5.32,2.46,16.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 7:22:53 PM,1766085773,Fastball,Y,8.39,27.68,92.49,2071.92,1969.7,95.07,1:36,1,20.4,20.2,-,-,-,-,3.58,-2.36,5.57,2.47,18.07,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 7:22:13 PM,1766085733,Fastball,N,19.48,21.46,92.23,2282.05,2178.9,95.48,1:46,1,20.5,20.1,-,-,-,-,2.54,-2.88,5.53,2.36,17.29,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 7:21:59 PM,1766085719,Slider,Y,-0.71,26.05,79.8,2586.32,1547,59.81,9:44,1,13.7,-10.2,-,-,-,-,1.6,-0.65,5.34,2.32,53.26,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Thu Dec 18 2025 7:21:44 PM,1766085704,Fastball,N,5.39,15.2,91.95,2172.95,2084.2,95.91,1:50,1,18.9,22.4,-,-,-,-,4.05,-3.36,5.65,2.48,16.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Thu Dec 18 2025 7:21:30 PM,1766085690,Slider,N,-23.32,8.82,80.84,2259.36,1411.4,62.47,10:02,1,10.9,-6.9,-,-,-,-,3.71,-2.37,5.8,2.21,51.34,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Thu Dec 18 2025 7:21:17 PM,1766085677,ChangeUp,N,27.47,20.44,83.97,1879.74,1859.1,98.9,2:38,1,6.1,16.9,-,-,-,-,1.83,-0.77,5.32,2.63,8.5,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Thu Dec 18 2025 7:21:01 PM,1766085661,Fastball,N,-11.54,19.22,92.4,2272.21,2179,95.9,1:52,1,18.2,15.9,-,-,-,-,4.95,-2.81,5.57,2.47,16.47,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
