Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Gianluca Filice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 7:10:38 PM,1765048238,Fastball,Y,-0.26,18.8,76.37,1857.49,1748.3,94.12,2:22,1,17.9,19.2,-,-,-,-,1.88,-1.2,5.33,0.22,19.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
2,Sat Dec 06 2025 7:10:03 PM,1765048203,ChangeUp,N,59.2,42.91,67.43,1699.91,1691.6,99.51,2:30,0.5,-3.4,20.7,-,-,-,-,-2.78,4.56,5.05,0.46,-5.65,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
3,Sat Dec 06 2025 7:09:40 PM,1765048180,Slider,Y,-7.17,22.53,62.44,1556.36,1433.4,92.1,7:18,1,-14.9,-8.9,-,-,-,-,0,4.52,5.29,0.15,22.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
4,Sat Dec 06 2025 7:09:16 PM,1765048156,Slider,N,-23.74,24.87,67.71,1983.09,1364.7,68.82,7:28,1,-6.8,-14.8,-,-,-,-,1.4,3.15,5.17,0.63,46.51,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
5,Sat Dec 06 2025 7:08:52 PM,1765048132,Slider,N,-34.81,6.88,65.5,1792.22,938.1,52.34,6:10,1,-11.5,-21.5,-,-,-,-,1.5,2.46,5.13,0.39,58.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
6,Sat Dec 06 2025 7:08:27 PM,1765048107,Fastball,N,47.77,50.96,74.05,1755.46,1687.4,96.12,2:28,1,7.2,21.7,-,-,-,-,-1.8,3.16,5.12,0.4,16,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
7,Sat Dec 06 2025 7:07:54 PM,1765048074,Fastball,N,59.04,64.84,76.89,1696.46,1656.8,97.66,2:24,0.5,5.1,19,-,-,-,-,-3.2,3.41,5.53,0.33,12.41,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
8,Sat Dec 06 2025 7:07:31 PM,1765048051,Fastball,N,43.86,37.8,77.32,2053.53,1950.7,94.99,2:20,1,5.6,22.1,-,-,-,-,-1.48,1.68,5.16,0.35,18.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
9,Sat Dec 06 2025 7:06:56 PM,1765048016,Slider,N,-28.35,23.55,67.16,1668.82,876.7,52.53,6:52,1,-5,-18.1,-,-,-,-,1.08,2.84,5.22,0.23,58.31,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
10,Sat Dec 06 2025 7:06:18 PM,1765047978,Slider,N,-18.66,9.12,67,1700.71,909.3,53.46,11:36,1,20.7,-22.8,-,-,-,-,-0.08,-0.37,5.31,0.27,57.68,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
