Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Grant Rybczynski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 7:53:02 PM,1766087582,Fastball,N,18.54,51.49,84.68,2146.8,1954.8,91.06,12:38,1,23.5,7.4,-,-,-,-,-0.06,-0.48,5.87,0.87,24.42,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 7:52:49 PM,1766087569,ChangeUp,N,-3.46,11.01,79.61,1805.35,1728.7,95.75,1:34,1,21.1,17.8,-,-,-,-,3.08,-3.33,5.97,1.17,16.76,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 7:52:35 PM,1766087555,Fastball,N,11.71,19.01,86.72,2155.43,2023.3,93.87,12:36,1,22.4,10.6,-,-,-,-,0.98,-3.4,5.96,1.03,20.17,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 7:52:16 PM,1766087536,CurveBall,N,3.38,-0.98,74.92,2143.35,1592.4,74.3,7:26,1,4.3,2.7,-,-,-,-,1.06,-3.2,5.92,1.06,42.02,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 7:52:02 PM,1766087522,Fastball,N,12.23,51.14,86.78,2218.53,2094.9,94.43,12:50,1,22.9,9.2,-,-,-,-,0.8,-0.35,5.68,0.99,19.22,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 7:51:48 PM,1766087508,Fastball,N,29.15,37.13,86.94,2154.49,2056.5,95.45,12:44,1,18.3,9.8,-,-,-,-,-0.66,-1.53,5.94,0.99,17.34,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 7:51:00 PM,1766087460,Fastball,N,21.18,42.21,85.19,2089.24,511.8,24.49,2:36,0.5,22.9,8.6,-,-,-,-,0.09,-1.22,5.83,1.14,75.82,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 7:50:50 PM,1766087450,CurveBall,Y,3.08,28.43,74.59,2176.8,1663.8,76.44,7:30,1,3.4,-7,-,-,-,-,0.47,0.59,5.73,1.28,40.15,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 7:50:34 PM,1766087434,Fastball,N,39.96,30.74,85.34,2336.71,2156.7,92.3,12:48,0.5,17.4,7.6,-,-,-,-,-1.69,-1.87,6.01,1.1,22.64,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 7:50:16 PM,1766087416,Fastball,N,32.32,35.77,86.51,2079.37,2063.7,99.24,1:28,0.5,17.9,8,-,-,-,-,-1.06,-1.24,5.82,1.02,-7.05,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Thu Dec 18 2025 7:50:03 PM,1766087403,Fastball,N,25.57,21.13,86.93,2086.05,1910.5,91.58,12:10,1,20.9,10.6,-,-,-,-,-0.07,-3.06,5.91,1.18,23.67,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Thu Dec 18 2025 7:49:48 PM,1766087388,Fastball,N,46.56,39.13,87,-,-,-,-,0,17.8,7.4,-,-,-,-,-2.34,-1.13,5.97,1.1,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Thu Dec 18 2025 7:49:37 PM,1766087377,Fastball,N,18.67,20.08,87.55,2178.69,2043,93.77,12:46,0.5,18.5,8.4,-,-,-,-,0.2,-2.87,5.87,1.04,20.33,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Thu Dec 18 2025 7:49:19 PM,1766087359,Fastball,N,45.82,35.07,86.62,2163.63,2080.7,96.16,12:06,0.5,18.8,10.8,-,-,-,-,-1.73,-1.62,5.95,1.31,15.92,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Thu Dec 18 2025 7:49:07 PM,1766087347,Fastball,N,34.28,51.55,88.93,2022.33,1923.1,95.09,6:38,1,-10.5,-12.2,-,-,-,-,-3.19,2.88,5.68,0.69,18.02,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
