Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Jackson Sheehy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 4:10:40 PM,1766074240,Fastball,Y,-6.46,19.71,87.52,1762.73,1639.1,92.99,1:22,1,17.7,14.8,-,-,-,-,4.31,-2.39,5.14,2.2,21.58,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 4:10:23 PM,1766074223,ChangeUp,N,28.4,11,75.24,1658.74,1657.3,99.91,2:56,1,10.4,22.8,-,-,-,-,2.21,-1.05,5.06,2.55,2.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 4:10:06 PM,1766074206,Fastball,N,-24.17,3.86,88.53,1893.94,1751.5,92.48,1:30,1,23.2,20.9,-,-,-,-,6.15,-4.12,5.31,2.17,22.37,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 4:09:24 PM,1766074164,ChangeUp,N,43.95,15.08,75.95,1677.08,1673.8,99.8,2:58,1,8.3,16.5,-,-,-,-,0.44,-0.38,4.95,2.71,3.6,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 4:09:04 PM,1766074144,Fastball,N,-1.61,52.78,89.34,-,-,-,-,0,21.2,5.7,-,-,-,-,3.25,0.24,5.23,2.38,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 4:08:44 PM,1766074124,Slider,N,-22.56,14.73,73.59,1847.33,1832.4,99.19,7:04,1,-10.6,-17.9,-,-,-,-,2.24,0.84,5.68,1.74,7.28,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 4:08:33 PM,1766074113,Slider,N,-24.74,3.35,73.08,2161.37,1803.6,83.45,7:54,1,2.5,-10.6,-,-,-,-,3.49,-0.74,5.2,2.2,33.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 4:08:10 PM,1766074090,Fastball,N,-15.05,61.37,88.4,1721.04,1630.4,94.73,1:00,0.5,17.2,14,-,-,-,-,4.95,1.26,5.39,2.21,18.68,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 4:07:48 PM,1766074068,Fastball,N,-11.23,38.77,89.5,1928.35,1783,92.46,2:12,1,16.4,17.1,-,-,-,-,4.85,-0.76,5.42,2.22,22.39,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 4:07:24 PM,1766074044,Slider,N,0.07,-0.44,72.52,2151.54,2011.9,93.51,7:46,1,-2.3,-13.8,-,-,-,-,1.13,-0.69,5.37,2.25,20.76,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Thu Dec 18 2025 4:07:10 PM,1766074030,Slider,N,-29.52,13.82,76.16,2075.57,1402.9,67.59,8:04,1,2,-7.4,-,-,-,-,4.29,-0.17,5.2,2.27,47.47,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Thu Dec 18 2025 4:06:59 PM,1766074019,ChangeUp,Y,8.91,25.82,77.96,1621.88,1621.6,99.98,2:54,1,13.4,19.4,-,-,-,-,3.15,-0.32,4.97,2.05,1.13,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Thu Dec 18 2025 4:06:26 PM,1766073986,ChangeUp,N,20.12,35.66,78.15,1666.07,1663.9,99.87,2:32,1,7.9,21.9,-,-,-,-,2.71,0.99,5.09,2.4,2.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
