Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Jaden Korpan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 5:34:12 PM,1765042452,CurveBall,N,-20.44,26.88,69.38,2163.61,733.8,33.91,6:14,1,1.7,-9.3,-,-,-,-,1.61,1.43,5.75,0.62,70.18,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Korpan ,high_intent,-
2,Sat Dec 06 2025 5:34:03 PM,1765042443,Fastball,N,30.96,41.37,81.53,2186.04,2021.4,92.47,1:12,0.5,18.1,15.7,-,-,-,-,-0.91,-0.62,5.78,0.43,22.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Korpan ,high_intent,-
3,Sat Dec 06 2025 5:33:52 PM,1765042432,Fastball,Y,6.56,22.51,81.01,2220.62,1796.4,80.9,1:30,1,22.6,5.7,-,-,-,-,0.63,-2.79,5.63,0.65,36.01,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Korpan ,high_intent,-
4,Sat Dec 06 2025 5:33:41 PM,1765042421,Fastball,N,14.56,27.22,80.37,2067.65,1915.1,92.62,1:14,1,20,16.9,-,-,-,-,0.89,-1.58,5.8,0.68,22.15,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Korpan ,high_intent,-
5,Sat Dec 06 2025 5:33:31 PM,1765042411,Fastball,Y,8.86,28.16,80.86,2038.54,1873.1,91.89,1:20,1,21,14.3,-,-,-,-,0.82,-2.07,5.9,0.32,23.24,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Korpan ,high_intent,-
6,Sat Dec 06 2025 5:33:22 PM,1765042402,CurveBall,N,-17.69,33.09,71.48,2038.14,1502.6,73.72,7:30,1,-2.1,-12.5,-,-,-,-,0.95,1.86,5.87,0.49,42.5,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Korpan ,high_intent,-
7,Sat Dec 06 2025 5:33:10 PM,1765042390,Fastball,N,-0.75,12.5,80.78,2074.28,1856.4,89.5,12:52,0.5,24.7,15.2,-,-,-,-,2.12,-3.29,6.04,0.79,26.5,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Korpan ,high_intent,-
8,Sat Dec 06 2025 5:32:57 PM,1765042377,Fastball,Y,8.44,29.98,80.38,2070.33,1961.1,94.72,12:34,1,21.3,7.7,-,-,-,-,0.76,-1.72,5.73,0.78,18.7,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Korpan ,high_intent,-
9,Sat Dec 06 2025 5:32:45 PM,1765042365,Fastball,Y,-9.24,41.09,78.93,2242.89,1628.8,72.62,12:34,1,23.5,3.5,-,-,-,-,1.87,-0.48,5.62,0.71,43.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Korpan ,high_intent,-
10,Sat Dec 06 2025 5:32:32 PM,1765042352,Fastball,N,-32.7,2.07,80.43,1885.79,1785.4,94.67,12:06,0.5,26.4,-1.7,-,-,-,-,3.18,-5.5,5.97,0.52,18.78,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Korpan ,high_intent,-
11,Sat Dec 06 2025 5:32:18 PM,1765042338,CurveBall,Y,3.43,22.02,69.05,2059.57,571,27.73,6:16,1,2.8,-6.9,-,-,-,-,-0.22,0.82,5.83,0.65,73.9,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Korpan ,high_intent,-
12,Sat Dec 06 2025 5:31:45 PM,1765042305,CurveBall,N,10.46,24.83,67.91,2065.6,739.2,35.79,4:36,1,-6.3,-4.4,-,-,-,-,-0.56,1.72,6.16,0.68,69.03,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Korpan ,high_intent,-
13,Sat Dec 06 2025 5:31:34 PM,1765042294,Fastball,Y,-5.86,31.77,80.18,2126.88,1691.2,79.51,1:40,1,20.9,6,-,-,-,-,1.6,-1.55,5.74,0.5,37.33,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Korpan ,high_intent,-
14,Sat Dec 06 2025 5:31:20 PM,1765042280,CurveBall,Y,-1.76,30.55,70.66,2155.09,585.4,27.16,6:18,1,1.5,-8.1,-,-,-,-,0.55,1.71,5.61,1.06,74.24,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Korpan ,high_intent,-
