Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Joey Czaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 7:00:29 PM,1766084429,Fastball,N,-20.24,39.71,88.22,2411.02,2386.4,98.98,9:18,0.5,17.3,-19.2,-,-,-,-,-2.38,-0.54,5.15,-2.31,-8.19,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 7:00:14 PM,1766084414,Fastball,N,5.27,43.33,86.5,2447.98,2080.9,85.01,10:02,0.5,20.2,-15,-,-,-,-,-4.23,-0.31,5.13,-2.28,31.78,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 7:00:01 PM,1766084401,Slider,N,35.46,5,71.3,1490.63,923.4,61.95,3:00,1,7.7,13.3,-,-,-,-,-4.27,-1.08,5.26,-2.19,-51.72,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 6:59:44 PM,1766084384,ChangeUp,Y,-8.58,40.71,79.24,1391.06,1308.9,94.09,9:28,0.5,17.4,-18.2,-,-,-,-,-3.43,0.25,5.24,-2.41,-19.79,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 6:59:27 PM,1766084367,Fastball,N,1.11,46.66,86.9,2361.33,2207,93.46,10:28,0.5,15,-13.9,-,-,-,-,-3.81,0.59,5.11,-2.29,-20.83,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 6:59:13 PM,1766084353,Fastball,Y,-5.89,23.72,86.02,2418.68,2335.6,96.56,10:12,1,13.2,-18.9,-,-,-,-,-3.56,-1.47,5.23,-2.26,-15.06,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 6:58:58 PM,1766084338,Slider,N,31.49,-15.13,73.37,1878.42,1622.9,86.4,1:56,1,-3.9,10.2,-,-,-,-,-4.4,-2.45,5.34,-2.49,-30.24,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 6:58:45 PM,1766084325,Fastball,N,16.51,39.15,86.76,2291.42,2190.2,95.58,10:02,1,17,-15.2,-,-,-,-,-5.25,-0.44,5.16,-2.25,-17.1,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 6:58:04 PM,1766084284,ChangeUp,N,17.59,13.35,78.33,1501.74,1217.2,81.05,9:34,1,9.7,-19.5,-,-,-,-,-5.84,-1.27,5.24,-2.52,-35.86,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 6:57:46 PM,1766084266,Fastball,N,-10.26,44.86,88.27,2626.66,2536.9,96.58,10:18,0.5,15.8,-16.4,-,-,-,-,-2.94,0.04,5.17,-2.22,-15.03,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Thu Dec 18 2025 6:57:32 PM,1766084252,Slider,Y,1.39,18.38,73.17,1821.13,1033.3,56.74,3:08,1,2.3,5.8,-,-,-,-,-2.15,0.34,5.3,-2.38,-55.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Thu Dec 18 2025 6:57:19 PM,1766084239,Slider,N,32.72,16.85,74.21,1627.06,687.2,42.24,11:56,0.5,1.7,5.7,-,-,-,-,-4.94,0.29,5.19,-2.46,-65.02,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Thu Dec 18 2025 6:57:04 PM,1766084224,Fastball,Y,-5.07,32.8,87.15,2339.81,2252.4,96.26,10:14,1,17.3,-15.8,-,-,-,-,-3.5,-0.95,5.14,-2.4,-15.71,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Thu Dec 18 2025 6:56:47 PM,1766084207,Fastball,N,12.84,38.12,87.1,2288.48,2025,88.49,10:26,0.5,17.9,-17.4,-,-,-,-,-5.21,-0.76,5.27,-2.38,27.76,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Thu Dec 18 2025 6:56:32 PM,1766084192,Fastball,N,-0.01,47.56,88.85,2565.06,1279.9,49.9,9:06,0.5,19.5,-16.6,-,-,-,-,-4.04,-0.05,5.17,-2.33,-60.07,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
16,Thu Dec 18 2025 6:56:16 PM,1766084176,Fastball,N,14.39,29.18,86.96,2496.69,2325.5,93.14,10:20,1,19.1,-17.9,-,-,-,-,-5.48,-1.55,5.27,-2.52,-21.34,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
17,Thu Dec 18 2025 6:56:02 PM,1766084162,Fastball,Y,8.4,24.23,87.14,2263.5,2167.9,95.78,10:12,1,17.7,-18.4,-,-,-,-,-4.79,-1.96,5.27,-2.28,-16.71,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
18,Thu Dec 18 2025 6:55:49 PM,1766084149,Fastball,N,-13.88,43.64,87.28,2457.87,2388.6,97.18,10:32,0.5,16.4,-20.7,-,-,-,-,-3.26,-0.08,5.16,-2.49,-13.63,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
