Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,John Callahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 3:50:11 PM,1765036211,Splitter,N,25.45,29.99,75.15,2025.31,1410.1,69.62,1:14,1,14,10.5,-,-,-,-,0.07,-0.74,6.07,1.32,45.88,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JohnCallahan,high_intent,-
2,Sat Dec 06 2025 3:49:38 PM,1765036178,Fastball,N,10.76,35.75,80.11,2260.98,2022.3,89.45,12:00,1,14.9,8.8,-,-,-,-,1.62,-0.52,5.77,1.72,26.56,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JohnCallahan,high_intent,-
3,Sat Dec 06 2025 3:49:15 PM,1765036155,Slider,Y,-2.79,19.88,68.39,2326.76,1350.2,58.03,6:58,1,-2.7,-16.6,-,-,-,-,0.37,1.11,5.97,1.51,54.53,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JohnCallahan,high_intent,-
4,Sat Dec 06 2025 3:48:54 PM,1765036134,Slider,N,-38.27,-7.6,70.03,2276.32,1042,45.78,7:18,1,-1.3,-15.7,-,-,-,-,3.28,-1.89,6.01,1.34,62.76,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JohnCallahan,high_intent,-
5,Sat Dec 06 2025 3:48:30 PM,1765036110,Slider,N,-0.89,10.34,66.84,2421.34,2126,87.8,7:54,1,-2.7,-15.3,-,-,-,-,0.19,0.41,6.08,1.39,28.59,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JohnCallahan,high_intent,-
6,Sat Dec 06 2025 3:48:15 PM,1765036095,Fastball,Y,-5.46,30.49,79.84,2334.44,1338.6,57.34,2:04,1,18,4.8,-,-,-,-,2.64,-1.21,5.85,1.7,55.01,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JohnCallahan,high_intent,-
7,Sat Dec 06 2025 3:47:59 PM,1765036079,Fastball,N,10.7,43.3,79.06,2229.27,1839.9,82.54,1:54,1,15.2,3.5,-,-,-,-,1.09,0.02,6.01,1.65,34.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JohnCallahan,high_intent,-
8,Sat Dec 06 2025 3:47:40 PM,1765036060,Splitter,N,17.43,29.98,72.73,1846.76,1099.5,59.54,12:46,1,15.8,7.5,-,-,-,-,0.35,-0.53,6.05,1.16,53.46,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JohnCallahan,high_intent,-
9,Sat Dec 06 2025 3:46:38 PM,1765035998,Splitter,N,29.75,43.16,73.95,1797.98,1359.2,75.6,1:20,1,17.7,8.1,-,-,-,-,-0.28,0.52,5.91,1.53,40.89,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JohnCallahan,high_intent,-
10,Sat Dec 06 2025 3:46:03 PM,1765035963,Fastball,N,21.12,49.12,78.13,1957.74,1771.2,90.47,12:00,1,14.7,10.1,-,-,-,-,0.58,0.37,6.14,1.47,25.21,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,JohnCallahan,high_intent,-
