Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Justin Refermat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 5:12:00 PM,1765041120,Slider,Y,3.03,27.54,73.78,1590.81,1590.5,99.98,2:36,1,0.2,17.6,-,-,-,-,3.23,2.37,4.34,1.9,-1.06,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Justin,high_intent,-
2,Sat Dec 06 2025 5:11:36 PM,1765041096,Slider,N,-3.9,15.11,60.61,1438.63,703.3,48.88,8:04,1,-5.5,-9.7,-,-,-,-,1.72,4.26,4.27,2.17,60.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Justin,high_intent,-
3,Sat Dec 06 2025 5:11:15 PM,1765041075,TwoSeamFastball,Y,-9.97,34.13,67.34,1098.53,1058.7,96.38,3:08,1,-1.5,13,-,-,-,-,4.04,3.77,4.42,1.92,-15.47,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Justin,high_intent,-
4,Sat Dec 06 2025 5:10:52 PM,1765041052,TwoSeamFastball,N,-26.67,19.58,68.39,1249.49,1218.9,97.55,3:26,1,-4.3,11.8,-,-,-,-,5.48,2.97,4.25,2.13,-12.71,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Justin,high_intent,-
5,Sat Dec 06 2025 5:10:28 PM,1765041028,TwoSeamFastball,N,10.41,20.64,71.92,1401.57,1398.1,99.75,2:30,1,7.8,16.8,-,-,-,-,2.77,0.87,4.38,2.05,4.06,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Justin,high_intent,-
6,Sat Dec 06 2025 5:10:04 PM,1765041004,TwoSeamFastball,N,57.33,29.45,73.42,1936.68,1851.2,95.59,3:28,1,-7.5,13.5,-,-,-,-,-1.2,3.37,4.2,2.52,-17.08,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Justin,high_intent,-
7,Sat Dec 06 2025 5:09:24 PM,1765040964,Slider,N,22.51,3.43,58.98,1347.24,1288.8,95.66,8:24,1,-3.2,-6.3,-,-,-,-,-0.19,3.11,4.61,2.21,16.94,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Justin,high_intent,-
8,Sat Dec 06 2025 5:09:04 PM,1765040944,Slider,N,15.26,34.57,59.37,1161.55,1000.8,86.16,8:30,1,-1.9,-7.5,-,-,-,-,0.22,5.62,4.49,2.12,30.51,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Justin,high_intent,-
9,Sat Dec 06 2025 5:08:41 PM,1765040921,Slider,Y,-0.05,21.03,72.72,1555.76,1550.8,99.68,2:58,1,-1.2,20.7,-,-,-,-,4.15,2.24,4.29,2.37,-4.57,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Justin,high_intent,-
10,Sat Dec 06 2025 5:08:17 PM,1765040897,Slider,Y,0.48,23.66,67.08,1176.49,998.1,84.84,3:28,1,-3.3,11.1,-,-,-,-,3.15,3.59,4.23,2.19,-31.96,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Justin,high_intent,-
