Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Kaleb Locatelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 6:08:14 PM,1765044494,Fastball,N,45.36,41.02,80.5,1841.73,1733.8,94.14,1:24,1,14.1,14.2,-,-,-,-,-2.58,-0.01,5.81,0.15,19.71,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,KalebWacha,high_intent,-
2,Sat Dec 06 2025 6:07:55 PM,1765044475,Slider,N,3.99,14.01,72.35,1851.93,483.1,26.08,5:48,1,-4.8,-2.7,-,-,-,-,-0.31,0.55,5.59,0.26,74.88,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,KalebWacha,high_intent,-
3,Sat Dec 06 2025 6:07:33 PM,1765044453,Slider,N,34.23,44.65,75.44,1366.73,1038.5,75.98,1:26,1,6.9,4,-,-,-,-,-2.32,1.68,5.61,0.34,40.55,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,KalebWacha,high_intent,-
4,Sat Dec 06 2025 6:07:11 PM,1765044431,Fastball,N,56.74,21.51,76.5,1503.75,1491.2,99.16,1:06,0.5,10.5,14.2,-,-,-,-,-3.11,-0.4,5.43,0.51,7.41,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,KalebWacha,high_intent,-
5,Sat Dec 06 2025 6:06:29 PM,1765044389,Slider,N,-0.99,16.19,73.68,1925.71,1116.2,57.96,8:02,1,-1.9,-7.7,-,-,-,-,-0.64,0.18,5.72,-0.06,54.58,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,KalebWacha,high_intent,-
6,Sat Dec 06 2025 6:06:11 PM,1765044371,Fastball,Y,6.56,23.43,80.08,1805.78,1471,81.46,1:46,1,21.2,10.4,-,-,-,-,0.39,-2.06,5.68,0.05,35.45,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,KalebWacha,high_intent,-
7,Sat Dec 06 2025 6:05:45 PM,1765044345,Slider,N,-4.97,10.69,73.32,1889.35,530.2,28.06,11:54,1,10.8,-7,-,-,-,-,0.03,-2.05,5.61,0.2,73.7,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,KalebWacha,high_intent,-
8,Sat Dec 06 2025 6:05:26 PM,1765044326,Slider,N,-4.23,9.82,74.81,1214.46,1203.4,99.09,12:32,0.5,6.6,-4.1,-,-,-,-,0.03,-1.08,5.72,0.02,7.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,KalebWacha,high_intent,-
9,Sat Dec 06 2025 6:04:59 PM,1765044299,Fastball,Y,6.51,19.91,81.03,1882.06,1549.5,82.33,1:36,1,15.1,8.4,-,-,-,-,0.28,-1.67,5.73,0.11,34.58,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,KalebWacha,high_intent,-
10,Sat Dec 06 2025 6:04:39 PM,1765044279,Fastball,N,32.24,26.85,79.31,1477.93,1233.6,83.47,1:46,1,5.3,8.2,-,-,-,-,-1.56,0.04,5.5,0.49,33.42,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,KalebWacha,high_intent,-
