Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Kayden Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 5:57:26 PM,1765043846,Fastball,N,26,61.23,74.58,2063.1,1583,76.73,1:24,1,16.5,8.4,-,-,-,-,-0.47,2.78,5.16,1.03,39.89,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
2,Sat Dec 06 2025 5:57:20 PM,1765043840,Fastball,N,12.65,63.47,73.33,1557.77,1515.3,97.27,10:46,0,18.5,4.9,-,-,-,-,0.42,2.93,5.21,1.03,-13.41,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
3,Sat Dec 06 2025 5:53:27 PM,1765043607,Fastball,Y,5.48,40.06,83.58,2087.56,1964.8,94.12,1:30,1,13.9,20.7,-,-,-,-,0.52,-0.2,5.58,-0.77,19.75,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
4,Sat Dec 06 2025 5:53:08 PM,1765043588,ChangeUp,Y,7.26,18.41,73.6,1389.58,1310.4,94.3,2:18,1,-0.9,14.8,-,-,-,-,0.04,0.84,5.29,-0.59,-19.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
5,Sat Dec 06 2025 5:52:53 PM,1765043573,Slider,Y,-3.43,32.8,76.03,1997.88,443.9,22.22,2:58,1,2.2,-4.6,-,-,-,-,-0.93,1.18,5.59,-0.79,77.16,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
7,Sat Dec 06 2025 5:52:27 PM,1765043547,Fastball,N,18.01,39.25,84.48,2090.87,1973.9,94.4,1:30,1,17.8,19.6,-,-,-,-,-0.57,-0.79,5.67,-0.66,19.26,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
8,Sat Dec 06 2025 5:52:13 PM,1765043533,ChangeUp,N,2.79,12.51,73.91,1544.23,1365.1,88.4,2:26,1,8.5,16.8,-,-,-,-,0.64,-0.59,5.31,-0.54,-27.88,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
9,Sat Dec 06 2025 5:52:00 PM,1765043520,ChangeUp,Y,5.39,24.07,72.96,1546.18,1544,99.86,2:24,1,8.1,18,-,-,-,-,0.54,0.3,5.45,-0.53,3.08,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
11,Sat Dec 06 2025 5:51:32 PM,1765043492,Fastball,N,-16.39,27.3,75.57,2087.68,1093.1,52.36,9:12,1,7.4,0.1,-,-,-,-,0.71,-0.15,5.6,-0.72,58.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
12,Sat Dec 06 2025 5:51:17 PM,1765043477,Slider,N,-23.96,11.96,74.07,1923.42,512.5,26.65,2:38,1,4.5,-2.4,-,-,-,-,1.1,-0.22,5.36,-0.72,74.55,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
13,Sat Dec 06 2025 5:51:02 PM,1765043462,Slider,Y,4.44,37.99,72.2,1552.69,622.1,40.07,10:22,1,-1.4,-6.3,-,-,-,-,-1.55,2.42,5.58,-0.65,66.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
14,Sat Dec 06 2025 5:50:43 PM,1765043443,Fastball,Y,-2.93,19.65,84.78,2272.44,2263.8,99.62,1:58,1,18.2,18.4,-,-,-,-,1.08,-2.49,5.62,-0.75,5,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
15,Sat Dec 06 2025 5:50:28 PM,1765043428,Fastball,Y,3.74,37.02,87.38,2294.86,2197.1,95.74,1:54,0.5,16.3,19,-,-,-,-,0.64,-0.65,5.49,-0.67,16.78,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
16,Sat Dec 06 2025 5:50:11 PM,1765043411,Fastball,Y,-8.23,26.08,83.85,2126.72,2018.2,94.9,1:50,1,11.9,16.3,-,-,-,-,1.42,-0.84,5.57,-0.64,18.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
17,Sat Dec 06 2025 5:49:56 PM,1765043396,ChangeUp,N,21.13,26.05,73.33,1478.69,1402.7,94.86,2:32,1,-1.4,16.8,-,-,-,-,-0.9,1.7,5.22,-0.51,-18.45,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
18,Sat Dec 06 2025 5:49:41 PM,1765043381,ChangeUp,N,15.03,24.28,70.86,1402.38,1313.6,93.67,2:18,1,8.2,18.4,-,-,-,-,-0.44,0.19,5.56,-0.7,20.5,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
19,Sat Dec 06 2025 5:49:24 PM,1765043364,Slider,Y,-8.02,24.77,75.85,2018.13,429.8,21.3,3:40,1,0.7,-4.8,-,-,-,-,-0.63,0.65,5.54,-0.87,77.7,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
20,Sat Dec 06 2025 5:49:07 PM,1765043347,Slider,Y,5.46,41.41,75.04,1919.07,1088.3,56.71,8:18,1,-0.5,-5.7,-,-,-,-,-1.6,2.22,5.62,-0.63,55.45,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
22,Sat Dec 06 2025 5:48:33 PM,1765043313,Slider,N,21.35,66.43,71.86,1957.02,369.5,18.88,9:42,0.5,8.9,-6.4,-,-,-,-,-2.78,5.85,5.6,-0.4,79.12,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
23,Sat Dec 06 2025 5:48:14 PM,1765043294,Fastball,Y,-7.76,24.08,83.16,2102.56,1998,95.03,1:58,1,15.7,17.3,-,-,-,-,1.62,-1.28,5.54,-0.49,18.14,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
24,Sat Dec 06 2025 5:47:58 PM,1765043278,Fastball,N,0.52,55.85,82.54,2324.58,1891.3,81.36,2:18,1,10.6,20.2,-,-,-,-,1.35,1.93,5.54,-0.33,35.55,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
25,Sat Dec 06 2025 5:47:46 PM,1765043266,Fastball,N,5.6,58.74,83.11,2151.55,2012.4,93.53,1:18,0.5,10.8,14.8,-,-,-,-,0.25,1.5,5.66,-0.54,20.72,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
26,Sat Dec 06 2025 5:47:31 PM,1765043251,Fastball,Y,3.81,34.58,83.65,2056.62,1986.3,96.58,2:00,1,14.9,19.6,-,-,-,-,0.88,-0.42,5.54,-0.45,15.02,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
27,Sat Dec 06 2025 5:47:15 PM,1765043235,Fastball,Y,-2.54,34.06,83.35,2020.46,1907.4,94.4,1:26,1,11.3,19,-,-,-,-,1.25,-0.19,5.63,-0.55,19.26,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,CaydenDuncan,high_intent,-
