Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Keegan Eazinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 7:46:30 PM,1766087190,Fastball,N,-3.08,51.06,87.84,2708.38,2345.6,86.6,12:16,0.5,15.8,7.5,-,-,-,-,2.56,0.04,5.7,1.46,30,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 7:46:10 PM,1766087170,Fastball,Y,1.35,41.88,87.32,2221.47,1963.9,88.41,1:12,1,16.2,7.3,-,-,-,-,2.5,-0.75,5.68,1.82,27.86,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 7:45:48 PM,1766087148,Fastball,Y,-4.32,38.11,88.12,2246.82,1982,88.21,1:18,0.5,14.4,13.3,-,-,-,-,2.91,-1.24,5.79,1.19,28.1,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 7:45:33 PM,1766087133,Fastball,N,10.17,42.71,88.72,2339.79,2103.1,89.88,12:00,1,15.2,9.1,-,-,-,-,1.45,-0.75,5.73,1.43,25.99,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 7:45:18 PM,1766087118,Fastball,Y,-4.81,31.35,87.74,2292.35,2070.5,90.32,12:50,1,14.5,12.5,-,-,-,-,3.22,-1.57,5.76,1.57,25.42,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 7:44:56 PM,1766087096,CurveBall,N,-19.39,7.71,75.83,2327.67,2011.4,86.41,6:36,1,-5.3,-2.8,-,-,-,-,2.73,-0.98,5.92,1.17,30.22,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 7:44:39 PM,1766087079,Fastball,N,10.27,59.03,88.46,2255.78,2092.5,92.76,2:02,0.5,13.5,12.7,-,-,-,-,1.82,0.84,5.7,1.43,21.94,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 7:44:27 PM,1766087067,Fastball,N,11.5,52.42,89.08,2207.03,2018.6,91.46,12:54,1,14,10.7,-,-,-,-,1.52,0.22,5.74,1.48,23.84,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 7:44:14 PM,1766087054,Fastball,N,-10.08,28.95,89.18,2272.28,2026.1,89.17,2:00,1,15.9,12.9,-,-,-,-,3.76,-1.99,5.79,1.63,26.92,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 7:43:25 PM,1766087005,Fastball,N,6.68,54.2,88.06,2184.87,1928.5,88.27,1:18,0.5,14.4,8.6,-,-,-,-,1.8,0.45,5.71,1.51,28.03,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Thu Dec 18 2025 7:43:07 PM,1766086987,Slider,Y,1.57,31.31,78.25,2579.57,1292.2,50.09,10:30,1,6.3,-4.2,-,-,-,-,1.83,0.01,5.66,2.16,59.94,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Thu Dec 18 2025 7:42:50 PM,1766086970,Slider,Y,-2.28,40.52,80.78,2308.23,1081.9,46.87,9:44,0.5,7,-0.7,-,-,-,-,2.32,0.93,5.5,2.07,-62.05,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Thu Dec 18 2025 7:42:31 PM,1766086951,ChangeUp,N,29.95,8.07,78.58,1861.99,1845.8,99.13,2:34,1,5.3,14.9,-,-,-,-,0.97,-1.85,5.54,2.16,7.56,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Thu Dec 18 2025 7:42:14 PM,1766086934,ChangeUp,N,15.6,25.26,79.47,1455.93,1222.7,83.98,2:24,1,12,10.9,-,-,-,-,1.66,-1.07,5.51,1.92,32.88,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Thu Dec 18 2025 7:41:50 PM,1766086910,Fastball,Y,4.33,40.59,87.08,2103.06,1859.1,88.4,12:54,1,13.8,11.9,-,-,-,-,3.03,-1.07,5.91,2.13,27.87,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
16,Thu Dec 18 2025 7:41:22 PM,1766086882,Fastball,Y,-3.97,33.6,86.83,2195.35,1973.6,89.9,1:02,1,10.5,7.5,-,-,-,-,3.25,-1.05,5.95,2.09,25.98,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
17,Thu Dec 18 2025 7:41:04 PM,1766086864,Fastball,Y,6.67,27.24,86.71,2131.83,1884.1,88.38,1:20,1,13.9,12.5,-,-,-,-,2.65,-2.13,5.9,1.95,27.9,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
18,Thu Dec 18 2025 7:40:47 PM,1766086847,Fastball,Y,-7.84,20.01,88.52,2159.76,1908.6,88.37,1:10,1,15,10.5,-,-,-,-,3.88,-2.71,5.9,2.16,27.91,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
19,Thu Dec 18 2025 7:40:35 PM,1766086835,Fastball,N,12.3,27.55,88.1,2033.16,1853.4,91.16,12:48,1,15.4,9.8,-,-,-,-,1.99,-2.21,5.87,2.08,24.28,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
