Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Kieran Glassford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 6:41:49 PM,1765046509,Fastball,N,-1.9,97.83,70.39,1277.2,1276.8,99.97,2:22,0.5,24.5,-11.9,-,-,-,-,1.37,4.44,6.58,0.18,1.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Glassford,high_intent,-
2,Sat Dec 06 2025 6:41:41 PM,1765046501,Fastball,N,-16.79,26.35,58.04,1510.79,902.9,59.77,12:08,1,-,-,-,-,-,-,0,0,0,0,53.3,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Glassford,high_intent,-
3,Sat Dec 06 2025 6:39:54 PM,1765046394,Fastball,N,-1.38,42.83,70.22,1917.15,1446.1,75.43,11:44,1,19.5,-12.1,-,-,-,-,-3.32,0.44,6.28,-2.33,-41.04,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Glassford,high_intent,-
4,Sat Dec 06 2025 6:39:35 PM,1765046375,Fastball,N,-1.62,6.15,69.67,1873.89,1802.8,96.21,11:18,1,25.4,-16.7,-,-,-,-,-3.96,-3.09,6.24,-2.59,-15.83,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Glassford,high_intent,-
5,Sat Dec 06 2025 6:39:16 PM,1765046356,Fastball,Y,6.63,30.25,70.27,1978.41,1606,81.18,11:12,1,17.5,-9.5,-,-,-,-,-3.8,-0.36,6.25,-2.35,-35.73,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Glassford,high_intent,-
6,Sat Dec 06 2025 6:39:02 PM,1765046342,Fastball,N,-13.55,26.73,69.64,1742.38,1610,92.4,11:34,1,20.4,-12.7,-,-,-,-,-2.53,-0.96,6.22,-2.5,-22.48,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Glassford,high_intent,-
7,Sat Dec 06 2025 6:38:52 PM,1765046332,Fastball,Y,6.78,22.34,70.14,1890.25,1487.5,78.7,11:34,1,18.4,-9.6,-,-,-,-,-3.92,-0.92,6.23,-2.45,-38.1,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Glassford,high_intent,-
8,Sat Dec 06 2025 6:38:41 PM,1765046321,Fastball,N,-18.98,52.69,70.16,1793.22,1399.4,78.04,11:38,1,23,-10.5,-,-,-,-,-1.95,1.36,6.21,-2.59,-38.7,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Glassford,high_intent,-
9,Sat Dec 06 2025 6:38:30 PM,1765046310,Fastball,Y,-5.93,30.48,70.28,1849.77,1788,96.66,11:14,1,22.4,-12.1,-,-,-,-,-3.24,-0.57,6.14,-2.62,-14.85,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Glassford,high_intent,-
10,Sat Dec 06 2025 6:37:36 PM,1765046256,Fastball,N,-0.48,17.04,70.58,1981.23,1671.9,84.39,11:08,1,17.4,-5.6,-,-,-,-,-3.22,-1.2,5.98,-2.69,-32.45,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Glassford,high_intent,-
