Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Liam McMurray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 4:23:31 PM,1765038211,TwoSeamFastball,Y,-0.26,40.28,81.38,-,-,-,-,0,5.5,13.5,-,-,-,-,3.21,1.12,5.46,1.99,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LiamMcMurray,high_intent,-
2,Sat Dec 06 2025 4:23:15 PM,1765038195,Fastball,N,-15.58,20.79,82.08,2157.57,1570.5,72.79,2:54,1,11.5,5.1,-,-,-,-,3.9,-1.47,5.71,2.06,43.29,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LiamMcMurray,high_intent,-
3,Sat Dec 06 2025 4:22:53 PM,1765038173,Fastball,Y,-5.4,23.81,78.59,2336.07,1275.6,54.61,2:42,1,8.1,6.8,-,-,-,-,3.27,-1.33,5.73,2.01,56.9,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LiamMcMurray,high_intent,-
4,Sat Dec 06 2025 4:22:35 PM,1765038155,TwoSeamFastball,N,17.33,49.01,82.46,2137.54,1848.7,86.49,3:02,0.5,-3.9,15.3,-,-,-,-,1.82,2.08,5.73,1.91,30.13,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LiamMcMurray,high_intent,-
5,Sat Dec 06 2025 4:22:00 PM,1765038120,Fastball,N,-12.29,47.64,82.39,2049.52,1360.3,66.37,2:58,1,8.8,1.4,-,-,-,-,3.01,0.61,5.7,1.54,48.42,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LiamMcMurray,high_intent,-
6,Sat Dec 06 2025 4:21:39 PM,1765038099,Slider,N,14.92,20.42,69.99,2654.31,2467.4,92.96,7:26,1,-8.5,-23.2,-,-,-,-,-1.04,1.78,5.54,2.17,21.63,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LiamMcMurray,high_intent,-
7,Sat Dec 06 2025 4:21:17 PM,1765038077,Slider,N,11.02,26.97,71.19,2654.04,1536.5,57.89,6:56,1,-17.2,-23.8,-,-,-,-,-0.94,2.87,5.78,1.97,54.62,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LiamMcMurray,high_intent,-
8,Sat Dec 06 2025 4:20:56 PM,1765038056,Fastball,Y,-1.94,38.74,84.15,1918.96,1446.8,75.39,2:26,1,7.7,10.5,-,-,-,-,2.99,0.07,5.78,1.84,41.07,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LiamMcMurray,high_intent,-
9,Sat Dec 06 2025 4:20:32 PM,1765038032,TwoSeamFastball,Y,3.85,38.33,83.27,2201.37,1735.6,78.84,2:26,1,1.7,14.9,-,-,-,-,2.88,0.47,5.66,1.74,37.96,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LiamMcMurray,high_intent,-
10,Sat Dec 06 2025 4:19:52 PM,1765037992,ChangeUp,N,4.75,14.03,77.36,1433.4,1195.6,83.41,2:58,1,12.6,13,-,-,-,-,2.69,-1.96,5.73,1.88,33.47,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LiamMcMurray,high_intent,-
