Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Luke Liedka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 8:56:17 PM,1766091377,Fastball,N,14.51,19.61,89.46,2655.29,2493,93.89,12:36,1,23.7,12.2,-,-,-,-,1.3,-3.61,5.92,1.42,20.13,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
2,Thu Dec 18 2025 8:56:02 PM,1766091362,Fastball,N,-0.55,-8.35,89.73,2423.21,2191.4,90.44,12:40,1,25,7.6,-,-,-,-,2.14,-6.46,6.04,1.36,25.26,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
3,Thu Dec 18 2025 8:55:48 PM,1766091348,Fastball,N,11.16,17.5,89.07,2389.75,999.2,41.81,2:36,0.5,25.8,6.2,-,-,-,-,0.97,-4.03,5.85,1.32,65.28,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
4,Thu Dec 18 2025 8:55:35 PM,1766091335,ChangeUp,N,33.72,19.92,74.61,1738.95,1738.3,99.96,1:48,1,15.8,20.1,-,-,-,-,0.5,-1.02,5.42,1.6,1.53,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
5,Thu Dec 18 2025 8:55:20 PM,1766091320,Fastball,N,19.7,22.69,87.77,2519.24,2343.8,93.04,12:06,1,22.2,9.8,-,-,-,-,0.47,-3.16,5.76,1.26,21.51,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
6,Thu Dec 18 2025 8:55:06 PM,1766091306,CurveBall,N,17.04,12.89,70.56,2271.12,2152.1,94.76,7:16,1,-5.5,-13.4,-,-,-,-,-1.06,0.37,5.68,1.55,18.63,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
7,Thu Dec 18 2025 8:54:52 PM,1766091292,Fastball,N,0.62,14.82,88.31,2401.06,2171.6,90.44,12:26,1,23.6,7.5,-,-,-,-,2.12,-3.92,5.68,1.38,25.25,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
8,Thu Dec 18 2025 8:54:38 PM,1766091278,Fastball,Y,-0.54,24.74,88.63,2488.15,2261.8,90.9,12:12,1,25.4,5,-,-,-,-,1.98,-3.25,5.8,1.37,24.63,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
9,Thu Dec 18 2025 8:54:25 PM,1766091265,Fastball,Y,8.5,19.28,87.73,2460.06,2244,91.22,12:36,1,23.5,8.6,-,-,-,-,1.71,-3.39,5.78,1.59,24.19,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
10,Thu Dec 18 2025 8:53:40 PM,1766091220,Fastball,N,11.78,38.43,88.1,1656.73,1581.5,95.46,10:36,0.5,25.7,5.5,-,-,-,-,0.82,-1.97,5.69,1.27,17.33,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
11,Thu Dec 18 2025 8:53:26 PM,1766091206,CurveBall,N,8.5,11.32,70.94,2463.09,2297.3,93.27,6:58,1,-18.2,-7.8,-,-,-,-,0.03,1.54,5.59,1.38,21.14,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
12,Thu Dec 18 2025 8:53:12 PM,1766091192,Fastball,Y,3.8,37.57,87.74,2351.25,2118.5,90.1,12:44,0.5,25.5,4.1,-,-,-,-,1.4,-1.97,5.73,1.28,25.71,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
13,Thu Dec 18 2025 8:52:59 PM,1766091179,ChangeUp,N,15.26,44.53,75.13,1873.13,1868.6,99.76,1:22,1,18.7,15.4,-,-,-,-,1.52,0.86,5.33,1.39,4,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
14,Thu Dec 18 2025 8:52:44 PM,1766091164,CurveBall,N,9.12,13.13,71.57,2507.58,1160,46.26,6:20,1,-10.8,-8,-,-,-,-,0.22,1.02,5.55,1.63,62.45,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
15,Thu Dec 18 2025 8:52:27 PM,1766091147,Fastball,Y,3.95,20.95,89.27,2473.59,2252.7,91.07,12:32,1,18.9,5.8,-,-,-,-,1.6,-2.93,5.78,1.35,24.4,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
16,Thu Dec 18 2025 8:52:13 PM,1766091133,Fastball,N,4.13,16.25,88.06,2822.07,2533.2,89.76,12:26,1,24,7.2,-,-,-,-,1.91,-3.73,5.78,1.54,26.15,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
17,Thu Dec 18 2025 8:52:01 PM,1766091121,Fastball,Y,9.93,33.95,88.19,2302.77,2109.6,91.61,12:34,1,17.9,9.1,-,-,-,-,1.44,-1.71,5.76,1.39,23.64,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
18,Thu Dec 18 2025 8:51:47 PM,1766091107,Fastball,N,12.14,36.16,87.36,2369.42,1232.8,52.03,11:28,0.5,18.7,4.6,-,-,-,-,1,-1.53,5.75,1.54,-58.65,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,LukeLiedka,high_intent,-
