Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Matt Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 6:27:19 PM,1766082439,Fastball,N,14.35,19.83,83.38,1901.39,1754.2,92.26,2:04,1,13.5,18.9,-,-,-,-,3.27,-1.58,5.14,2.69,22.69,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 6:26:42 PM,1766082402,Fastball,Y,5.01,28.83,84,2069.06,1927.2,93.15,1:46,1,15.1,17,-,-,-,-,3.84,-1.22,5.45,2.63,21.34,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 6:26:21 PM,1766082381,Fastball,N,18.72,12.3,85.37,2057.99,1963.9,95.43,1:48,1,17.9,21.4,-,-,-,-,3.1,-2.58,5.27,2.77,17.39,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 6:26:05 PM,1766082365,Fastball,N,32.46,23.23,85.07,1766.68,1714.8,97.06,12:56,0.5,15,19.6,-,-,-,-,1.65,-1.33,5.12,2.62,13.92,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 6:25:52 PM,1766082352,Fastball,N,17.32,31.63,84.97,2037.26,1954.7,95.95,1:58,0.5,15.8,20.9,-,-,-,-,3.27,-0.82,5.27,2.84,16.37,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 6:25:07 PM,1766082307,Fastball,N,28.92,24.07,84.45,1694.8,1570.2,92.65,2:14,0.5,10.5,21.9,-,-,-,-,2.26,-0.78,5.17,2.76,22.11,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 6:24:54 PM,1766082294,Slider,Y,-5.74,31.97,66.77,1690.71,1305,77.19,8:04,1,-1.4,-13.8,-,-,-,-,2.38,3.32,4.94,2.94,39.48,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 6:24:40 PM,1766082280,ChangeUp,Y,-3.91,20.93,68.34,1423.84,1407.3,98.84,2:52,1,3.5,15.7,-,-,-,-,4.82,1.3,5.16,2.87,-8.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 6:24:26 PM,1766082266,ChangeUp,N,-13.31,17.98,70.65,1396.19,1394.8,99.9,2:58,1,3.8,13.9,-,-,-,-,5.38,0.67,5.06,2.78,2.56,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 6:24:14 PM,1766082254,ChangeUp,N,12.68,42.7,68.14,1314.38,1291,98.22,2:52,1,-0.2,11.9,-,-,-,-,3.01,3.48,5.26,2.94,-10.81,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
