Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Matt Barr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 7:36:30 PM,1766086590,Slider,N,19.59,42,82.88,1971.11,1760.6,89.32,12:04,1,9.8,5.1,-,-,-,-,1.24,-0.26,6.18,2.38,26.72,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 7:36:22 PM,1766086582,Slider,Y,6.69,39.13,84.89,1859.37,1627.5,87.53,12:52,0.5,10.9,2.2,-,-,-,-,1.9,-0.49,5.99,2.15,28.92,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 7:35:34 PM,1766086534,Slider,N,-1.41,8.29,84.36,2709.71,1767.9,65.24,10:06,1,7.1,-12.2,-,-,-,-,2.16,-2.41,5.56,2.95,49.28,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 7:35:18 PM,1766086518,Fastball,N,-14.61,13.83,91.5,2367.04,2099.7,88.71,2:04,1,17.2,2,-,-,-,-,4.25,-3.57,5.85,2.67,27.49,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 7:35:01 PM,1766086501,Slider,Y,7.32,35.26,81.83,1838.64,1466.8,79.78,7:42,1,1.8,-18.3,-,-,-,-,0.43,-0.05,6.25,2.54,37.08,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 7:34:44 PM,1766086484,Slider,N,16.07,43.46,82.74,1516.04,1302.4,85.91,7:48,1,1.9,-17.5,-,-,-,-,-0.12,0.7,6.09,2.69,30.79,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 7:34:21 PM,1766086461,Cutter,N,19.41,37.03,87.72,2852.89,1651.3,57.88,8:08,1,3.6,-4,-,-,-,-,0.59,-0.09,5.73,2.49,54.63,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 7:34:04 PM,1766086444,Cutter,N,-20.28,2.51,90.27,-,-,-,-,0,10.6,-5.5,-,-,-,-,4.17,-3.8,5.89,2.77,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 7:33:41 PM,1766086421,Fastball,N,-12.19,46.91,93.77,2570.57,2289.7,89.07,1:46,1,19.8,-0.1,-,-,-,-,3.61,-1.19,5.99,2.39,27.03,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 7:33:14 PM,1766086394,Fastball,N,-20.2,27.61,93.88,2735.08,2232,81.61,2:14,0.5,19.9,2.4,-,-,-,-,4.67,-2.76,5.9,2.55,-35.31,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Thu Dec 18 2025 7:32:46 PM,1766086366,Cutter,Y,-3.14,36.69,88.61,2898.52,1937.8,66.86,7:58,0.5,5.9,-5.4,-,-,-,-,2.75,-0.15,5.6,2.75,48.04,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Thu Dec 18 2025 7:32:19 PM,1766086339,Cutter,N,-0.64,61.51,88.88,1589.04,939.6,59.13,9:58,1,8.9,-1.9,-,-,-,-,2.39,1.26,5.97,2.28,53.75,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Thu Dec 18 2025 7:31:52 PM,1766086312,CurveBall,Y,1.91,24.58,83.06,2906.92,2230.7,76.74,7:32,1,-8.8,-13.8,-,-,-,-,1.1,-0.18,6.22,2.35,39.88,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Thu Dec 18 2025 7:31:21 PM,1766086281,CurveBall,N,16.29,16.23,84.49,2939.03,2414.4,82.15,7:38,1,-7.3,-15.5,-,-,-,-,0.14,-0.99,6.16,2.78,34.77,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
