Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Matt Kasprowicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 6:15:04 PM,1766081704,Fastball,Y,-8.28,39.97,87.23,2117.02,1897.4,89.63,1:24,1,12.3,14.2,-,-,-,-,4.27,0.06,5.21,2.17,26.33,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 6:14:50 PM,1766081690,Slider,N,13.27,34.08,76.3,2132.69,832.2,39.02,7:22,1,2.2,2,-,-,-,-,1.57,1.58,5.15,2.44,67.03,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 6:14:36 PM,1766081676,Slider,Y,7.6,40.82,76,2201.81,946.7,43,7:42,1,0.6,0.1,-,-,-,-,1.64,2.09,5.32,2.19,64.53,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 6:14:26 PM,1766081666,Slider,Y,5.64,25.53,75.67,2207.96,1055.8,47.82,7:28,1,-4.1,-2.9,-,-,-,-,1.35,0.83,5.7,2.02,61.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 6:14:15 PM,1766081655,ChangeUp,N,23.74,38.85,78.44,1120.07,971.3,86.72,2:16,1,9.5,17.6,-,-,-,-,1.8,0.81,5.36,2.22,29.87,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 6:14:02 PM,1766081642,Fastball,Y,1.13,27.37,89.23,2166.41,2015,93.01,1:42,1,13.5,17.5,-,-,-,-,3.55,-1.5,5.32,1.98,21.55,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 6:13:17 PM,1766081597,Slider,N,21.68,16.05,75.81,2187.92,609.4,27.85,6:52,1,4.1,2.2,-,-,-,-,0.97,-0.51,5.56,2.56,73.83,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 6:13:02 PM,1766081582,Fastball,N,0.69,45.25,86.69,2210.66,2064.3,93.38,1:38,1,11.3,14.3,-,-,-,-,3.45,0.74,5.23,2.15,20.96,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 6:12:53 PM,1766081573,Slider,Y,-1.58,23.08,75.36,2030.18,1152,56.74,7:12,1,0.4,-0.7,-,-,-,-,2.17,0.15,5.67,1.99,55.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 6:12:43 PM,1766081563,Slider,N,12.16,17.94,76.08,2294.78,1266.3,55.18,7:10,1,1.5,0,-,-,-,-,0.91,-0.33,5.75,1.88,56.51,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Thu Dec 18 2025 6:12:32 PM,1766081552,ChangeUp,N,11.61,30.28,78.47,1376.44,1335.4,97.02,1:44,1,12,11.8,-,-,-,-,2.23,-0.04,5.42,2.12,14.02,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Thu Dec 18 2025 6:12:16 PM,1766081536,ChangeUp,N,40.6,31.73,78.07,1402.72,1349.7,96.22,1:50,1,11.2,19.2,-,-,-,-,0.51,-0.11,5.52,2.27,15.8,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Thu Dec 18 2025 6:12:06 PM,1766081526,ChangeUp,Y,-4.48,26.07,78.08,1343.25,1240.9,92.38,2:12,1,11.7,14.7,-,-,-,-,3.87,-0.64,5.33,2.04,22.52,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Thu Dec 18 2025 6:11:46 PM,1766081506,Fastball,N,24.3,55.5,90.03,-,-,-,-,0,16.7,13.9,-,-,-,-,1.06,0.79,5.36,1.86,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Thu Dec 18 2025 6:11:34 PM,1766081494,Fastball,N,13.21,40.06,88.43,2533.7,606.3,23.93,12:22,0.5,15,15.1,-,-,-,-,2.36,-0.55,5.4,2.03,-76.16,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
16,Thu Dec 18 2025 6:11:22 PM,1766081482,Fastball,N,20.36,24.05,89.59,1984.15,1904.4,95.98,1:32,1,13.8,22.7,-,-,-,-,2.49,-1.81,5.33,2.17,16.3,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
17,Thu Dec 18 2025 6:11:09 PM,1766081469,Fastball,N,5.56,55.27,90.19,1645.32,1038.2,63.1,2:14,1,18.2,14.5,-,-,-,-,3.04,0.64,5.29,2.06,-50.88,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
18,Thu Dec 18 2025 6:10:57 PM,1766081457,Fastball,N,43.25,40.99,90.46,-,-,-,-,0,3.8,8.9,-,-,-,-,-0.87,1.03,5.4,2,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
