Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Michael Munzert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 4:23:52 PM,1766075032,Fastball,N,23.86,10.63,85.49,1899.89,1825,96.06,1:54,0.5,18.7,18.3,-,-,-,-,1.36,-3.7,5.92,1.75,16.14,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 4:23:39 PM,1766075019,Splitter,Y,-7.36,30.26,77.22,1549.72,1441.3,93,1:40,1,16.7,4.3,-,-,-,-,2.91,-1.02,5.94,1.77,21.56,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 4:23:25 PM,1766075005,Fastball,N,18.75,32.24,85.13,1740.79,1736.2,99.73,1:06,0.5,19.6,12,-,-,-,-,1.42,-1.8,5.78,1.89,4.18,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 4:22:57 PM,1766074977,Splitter,N,-14.83,13.3,75.78,1533.08,772.6,50.4,7:32,1,4.4,-2.1,-,-,-,-,2.92,-1.26,5.86,1.68,59.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 4:22:39 PM,1766074959,Fastball,N,29.82,41.42,84.88,1722.62,919.6,53.38,2:36,0.5,17.4,11.7,-,-,-,-,0.47,-0.81,5.83,1.94,57.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 4:22:26 PM,1766074946,Fastball,N,13.08,26.87,86.2,2942.19,2935.4,99.77,1:34,0.5,12,6.9,-,-,-,-,1.16,-1.35,5.79,1.63,3.91,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 4:22:10 PM,1766074930,Slider,N,10.15,6.48,75.8,1375.11,917.7,66.74,6:52,1,-1.5,2.1,-,-,-,-,0.85,-1.19,5.95,1.48,48.13,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 4:21:54 PM,1766074914,Slider,N,-18.74,5.32,76.66,-,-,-,-,0,7.1,4.6,-,-,-,-,3.73,-2.1,5.93,1.59,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 4:21:39 PM,1766074899,Fastball,N,11.82,28.41,86.51,1769.68,1764.7,99.72,1:02,1,19,10.1,-,-,-,-,1.59,-2.16,5.91,1.64,4.31,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 4:21:01 PM,1766074861,Splitter,N,-18.46,-0.83,76.82,1379.97,1213.4,87.93,1:26,1,11.6,8.6,-,-,-,-,4.29,-3.07,5.99,1.89,28.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
