Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Nick Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 3:17:07 PM,1765034227,Fastball,Y,-5.33,29.74,78.59,1900.74,1780.4,93.67,1:50,1,16.9,9.9,-,-,-,-,2.42,-1.23,5.75,1.02,20.5,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
2,Sat Dec 06 2025 3:16:54 PM,1765034214,Fastball,Y,8.04,32.32,80.65,2018.6,1985.6,98.37,1:14,1,20.6,11.2,-,-,-,-,1.08,-1.56,6.11,0.78,10.37,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
3,Sat Dec 06 2025 3:16:33 PM,1765034193,Slider,N,-12.24,15.24,70.62,2048.46,629.4,30.72,6:30,1,2.1,-10.1,-,-,-,-,1.59,0.36,5.54,1.38,72.11,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
4,Sat Dec 06 2025 3:16:15 PM,1765034175,TwoSeamFastball,Y,-1.69,22.92,78.43,1926.24,1917.1,99.52,1:54,1,11.8,20.2,-,-,-,-,3.08,-1.25,5.76,1.15,5.59,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
5,Sat Dec 06 2025 3:15:55 PM,1765034155,Cutter,N,-29.98,21.87,77.3,2017.45,942.2,46.7,2:52,1,8.8,-2.2,-,-,-,-,3.92,-0.37,5.42,1.51,62.16,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
6,Sat Dec 06 2025 3:15:37 PM,1765034137,Slider,N,-15.3,40.2,71.02,2203.2,1329.4,60.34,7:58,1,2,-10.6,-,-,-,-,1.86,2.63,5.57,1.44,52.89,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
7,Sat Dec 06 2025 3:15:22 PM,1765034122,Fastball,N,-28.38,36.3,79.62,1986.72,1876.1,94.43,1:52,1,18.6,12.8,-,-,-,-,4.51,-0.77,5.84,0.89,19.21,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
8,Sat Dec 06 2025 3:15:07 PM,1765034107,Fastball,N,-14.65,22.7,80.38,2037.25,1850.4,90.83,1:24,1,23.9,12.1,-,-,-,-,3.38,-2.6,5.97,1.06,24.73,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
9,Sat Dec 06 2025 3:14:52 PM,1765034092,Knuckleball,Y,8.57,22.63,65.71,1561.11,1369.2,87.71,1:04,1,-5.8,14.8,-,-,-,-,2.04,2.53,5.77,1.5,28.71,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
11,Sat Dec 06 2025 3:14:25 PM,1765034065,Knuckleball,N,-12.38,27.55,65.92,1623.73,469.4,28.91,5:40,1,-6,5.5,-,-,-,-,2.93,3.03,5.61,1.35,73.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
12,Sat Dec 06 2025 3:14:12 PM,1765034052,Slider,N,-23.16,12.66,77.67,1929.64,1122.3,58.16,2:02,1,9.4,-3.1,-,-,-,-,2.99,-1.22,5.59,1.29,54.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
13,Sat Dec 06 2025 3:13:57 PM,1765034037,Slider,N,-15.56,29.42,69.11,1979.34,788.8,39.85,7:10,1,-3.7,-10.3,-,-,-,-,1.75,2.38,5.4,1.26,66.51,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
14,Sat Dec 06 2025 3:13:45 PM,1765034025,Slider,N,-13.01,28.99,68.21,1957.78,1559.8,79.67,8:14,1,-0.9,-14.1,-,-,-,-,1.4,2.62,5.3,1.47,37.18,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
15,Sat Dec 06 2025 3:13:32 PM,1765034012,Slider,Y,-5,35,70.62,2026.04,775.6,38.28,7:20,1,-1.1,-10.5,-,-,-,-,1.04,2.15,5.62,1.46,67.49,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
16,Sat Dec 06 2025 3:13:18 PM,1765033998,Fastball,Y,6.52,40.81,80.26,1974.79,1871.5,94.77,1:50,1,15.1,16.4,-,-,-,-,1.83,-0.18,5.87,0.95,18.61,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
17,Sat Dec 06 2025 3:13:05 PM,1765033985,ChangeUp,Y,-4.54,34.72,73.8,1658.97,1631.4,98.34,2:30,1,-0.1,19.7,-,-,-,-,3.43,1.7,5.62,1.31,-10.45,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
18,Sat Dec 06 2025 3:12:50 PM,1765033970,ChangeUp,N,-18.76,23.47,74.37,1812.15,1796.4,99.13,1:54,1,8.2,14.3,-,-,-,-,4.35,0.26,5.48,1.48,-7.57,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
19,Sat Dec 06 2025 3:12:36 PM,1765033956,ChangeUp,N,-8.97,14.33,73.89,1648.85,1648.8,100,2:10,1,10.6,15.9,-,-,-,-,3.42,-1,5.68,1.27,-0.11,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
20,Sat Dec 06 2025 3:12:22 PM,1765033942,Slider,N,-39.24,16.11,78.66,1866.63,1645.1,88.13,1:22,1,10.2,0.1,-,-,-,-,4.41,-1.54,5.8,1.08,28.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
21,Sat Dec 06 2025 3:12:06 PM,1765033926,Slider,N,-19.26,14.46,77.75,2022.32,1116.8,55.23,2:00,1,-,-5.1,-,-,-,-,2.34,-3.39,5.88,1.12,56.48,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
22,Sat Dec 06 2025 3:11:51 PM,1765033911,Slider,N,-39.72,-3.28,78.53,1968.5,1443.9,73.35,9:42,1,12,-14.9,-,-,-,-,3.19,-3.33,5.7,1.18,42.82,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
23,Sat Dec 06 2025 3:11:38 PM,1765033898,Slider,N,-17.87,24.44,78.43,1962.87,1161,59.15,2:10,1,9.6,1.4,-,-,-,-,2.89,-0.3,5.48,1.23,53.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
24,Sat Dec 06 2025 3:11:25 PM,1765033885,TwoSeamFastball,N,-27.57,10.37,79.16,1785.57,1779.9,99.68,1:54,1,16,16.3,-,-,-,-,4.83,-2.51,5.77,1.08,4.57,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
25,Sat Dec 06 2025 3:11:12 PM,1765033872,Fastball,Y,-2.55,33.79,79.38,1869,1854.9,99.25,1:56,1,10,17.9,-,-,-,-,3.04,0.13,5.49,1.2,7.03,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
26,Sat Dec 06 2025 3:10:55 PM,1765033855,Fastball,N,-21.5,38.72,81.14,2093.35,1941.3,92.73,1:56,1,16.3,15,-,-,-,-,4.43,-0.44,5.76,1.22,21.97,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
27,Sat Dec 06 2025 3:10:42 PM,1765033842,Fastball,N,-12.29,28.11,80.45,1966.93,1806.6,91.85,1:28,1,19.2,9.3,-,-,-,-,2.91,-1.8,5.81,0.95,23.29,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
28,Sat Dec 06 2025 3:10:30 PM,1765033830,Fastball,Y,6.02,32.39,79.97,1914.31,1799.7,94.01,12:58,1,16.4,13.3,-,-,-,-,2.16,-0.76,5.64,1.47,19.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
29,Sat Dec 06 2025 3:10:18 PM,1765033818,Fastball,Y,-3.28,25.87,80.52,2019.1,1893.8,93.8,1:46,1,18.5,13.7,-,-,-,-,2.47,-1.59,5.76,0.96,20.29,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
30,Sat Dec 06 2025 3:10:07 PM,1765033807,Fastball,N,-18.38,16.44,80.3,1975.8,1934.1,97.89,1:52,1,22,13.9,-,-,-,-,4.02,-2.94,5.98,1.21,11.8,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NickGold,high_intent,-
