Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Nolan Bigras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 8:06:39 PM,1766088399,Fastball,N,7.67,44.76,86.19,-,-,-,-,0,22.1,8.9,-,-,-,-,1.95,-0.93,5.79,1.72,0,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
2,Thu Dec 18 2025 8:06:28 PM,1766088388,Fastball,Y,10,36.21,85.98,2173.19,1959.2,90.16,12:36,1,18,8.9,-,-,-,-,1.96,-1.18,5.79,1.93,25.64,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
3,Thu Dec 18 2025 8:06:11 PM,1766088371,CurveBall,N,-12.31,-9.85,71.53,2077.5,941.5,45.32,7:18,1,0,1.4,-,-,-,-,3.69,-2.03,5.84,2.4,63.05,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
4,Thu Dec 18 2025 8:05:55 PM,1766088355,CurveBall,N,34.46,-17.27,69.29,1864.19,1026.4,55.06,5:58,1,-6.2,13.7,-,-,-,-,0.58,-1.8,5.59,2.27,56.59,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
5,Thu Dec 18 2025 8:05:44 PM,1766088344,CurveBall,N,22.14,35.07,71.64,2210.57,1378.4,62.36,11:04,1,9.6,-0.7,-,-,-,-,0.38,0.91,5.65,2.25,51.42,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
6,Thu Dec 18 2025 8:05:33 PM,1766088333,Fastball,Y,8.76,30.84,85.57,1952.46,1838.9,94.18,12:46,1,22.1,12.3,-,-,-,-,2.37,-2.05,5.76,1.92,19.64,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
7,Thu Dec 18 2025 8:05:22 PM,1766088322,Fastball,N,20.54,31.82,86.14,2032.22,1885.1,92.76,1:26,0.5,23.8,15,-,-,-,-,1.45,-2.05,5.68,1.8,21.94,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
8,Thu Dec 18 2025 8:04:38 PM,1766088278,ChangeUp,N,17.58,27.12,72.1,1953.75,1876.3,96.04,2:34,1,3.4,12.3,-,-,-,-,2.2,0.78,5.77,2.54,16.19,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
9,Thu Dec 18 2025 8:04:27 PM,1766088267,ChangeUp,N,33.32,42.82,72.35,1178.13,1122.8,95.31,2:30,1,7.7,13.2,-,-,-,-,0.75,1.8,5.61,2.38,17.63,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
10,Thu Dec 18 2025 8:04:16 PM,1766088256,Fastball,N,7.27,5.65,85.33,2050.89,1920.3,93.63,12:38,1,21.3,15.7,-,-,-,-,2.88,-4.22,5.73,1.98,20.56,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
11,Thu Dec 18 2025 8:04:05 PM,1766088245,Fastball,N,16.82,21.7,86.06,1822.5,1718.6,94.3,12:40,1,23.2,13.6,-,-,-,-,1.82,-3.28,6.03,2.01,19.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
12,Thu Dec 18 2025 8:03:53 PM,1766088233,CurveBall,Y,0.28,18.5,70.51,2074.12,1141,55.01,10:56,1,10.3,0.6,-,-,-,-,2.22,-0.36,5.59,2.02,56.63,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
13,Thu Dec 18 2025 8:03:43 PM,1766088223,CurveBall,N,3.88,-0.31,71.31,2099.4,1348.5,64.23,6:48,1,-2.1,3,-,-,-,-,2.17,-0.95,5.76,2.13,50.04,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
14,Thu Dec 18 2025 8:03:30 PM,1766088210,Fastball,N,12.75,37.66,85.13,2125.76,1922.2,90.42,12:00,1,24.4,10.9,-,-,-,-,1.82,-1.49,5.77,1.86,25.28,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
15,Thu Dec 18 2025 8:03:19 PM,1766088199,Fastball,N,35.03,39.65,88,2534.6,1707.3,67.36,8:10,0.5,-20.2,-25.4,-,-,-,-,-3.63,3.38,5.28,1.32,-47.65,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
16,Thu Dec 18 2025 8:03:08 PM,1766088188,Fastball,N,16.28,27.52,87.01,2079.86,1965.5,94.5,12:44,1,21.8,20.1,-,-,-,-,2.26,-2.46,5.78,1.81,19.09,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
17,Thu Dec 18 2025 8:02:59 PM,1766088179,Fastball,N,14.62,33.44,86.85,2220.08,2111.1,95.09,12:52,1,18.1,16.1,-,-,-,-,2.15,-1.51,5.74,1.89,18.02,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
18,Thu Dec 18 2025 8:02:50 PM,1766088170,Fastball,N,12.17,31.43,85.52,1890.73,1825.9,96.57,12:58,1,21.8,17.2,-,-,-,-,2.53,-2.1,5.84,1.98,15.04,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,NolanBigras,high_intent,-
