Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Phillip Dotterweich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 5:06:13 PM,1766077573,Fastball,N,-56.08,18.75,83.17,2251.16,1121.6,49.82,1:42,1,18.9,7,-,-,-,-,7.7,-2.35,5.62,2.08,60.12,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 5:05:53 PM,1766077553,Splitter,N,15.03,37.28,76.34,1065.32,507.9,47.67,3:52,1,2.2,6.6,-,-,-,-,1.37,1.2,5.82,2,61.53,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 5:05:38 PM,1766077538,Splitter,N,-0.13,14.93,77.41,1300.15,535.1,41.16,4:56,1,-2,0.8,-,-,-,-,2.32,-0.2,5.49,2.08,65.7,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 5:05:20 PM,1766077520,Splitter,Y,-5.41,28.36,77.52,1324.18,928.4,70.11,12:10,0.5,8,-2.2,-,-,-,-,2.52,-0.04,5.67,2.13,45.48,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 5:04:58 PM,1766077498,Fastball,N,-16.79,45.01,83.59,2194.47,1928.4,87.87,1:10,1,16.6,9.9,-,-,-,-,4.74,0.15,5.38,2.1,28.51,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 5:04:37 PM,1766077477,CurveBall,N,-14.7,6.82,72.27,2398.39,2380.9,99.27,7:04,1,-11,-10.8,-,-,-,-,2.64,0.39,5.74,2.2,6.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 5:04:21 PM,1766077461,CurveBall,N,-3.8,12.02,72.69,2308.57,2213.6,95.88,7:08,1,-8.1,-13.9,-,-,-,-,1.34,0.45,5.68,2.11,16.49,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 5:03:59 PM,1766077439,CurveBall,N,-32.92,-5.82,74.28,2504.72,2339.2,93.39,7:00,1,-0.5,-13.6,-,-,-,-,3.84,-2.24,5.89,2.1,20.94,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 5:03:41 PM,1766077421,CurveBall,N,21.19,33.72,71.31,2354.09,2332.3,99.08,7:14,1,-13.2,-8.2,-,-,-,-,-0.25,3.01,5.7,2.21,7.8,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 5:03:24 PM,1766077404,Fastball,N,16.15,55.6,83.51,2232.54,2062.2,92.37,1:26,0.5,13.3,13.7,-,-,-,-,2.58,0.98,5.78,2.69,22.53,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Thu Dec 18 2025 5:02:22 PM,1766077342,Fastball,N,-33.31,13.54,85.44,2110.25,1887.2,89.43,1:54,1,23.4,6.7,-,-,-,-,5.78,-3.64,5.83,2.19,26.58,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Thu Dec 18 2025 5:02:03 PM,1766077323,Fastball,N,12.28,55.79,84.71,2215.05,2063,93.14,2:12,0.5,21.7,13,-,-,-,-,2.75,0.37,5.66,2.53,21.35,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Thu Dec 18 2025 5:01:41 PM,1766077301,Fastball,N,-42.97,21.61,84.61,2258.42,1985.3,87.91,1:44,1,22.2,6.4,-,-,-,-,6.86,-2.69,5.52,2.37,28.47,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Thu Dec 18 2025 5:01:14 PM,1766077274,Fastball,N,-15.22,-10.24,85.46,2195.47,1954.4,89.02,2:02,1,10.7,12.5,-,-,-,-,5.22,-4.29,5.73,2.73,27.1,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Thu Dec 18 2025 5:01:01 PM,1766077261,Fastball,N,10.78,43.67,84.82,2121.79,1890.6,89.1,1:28,1,9.3,8.8,-,-,-,-,2.64,0.85,5.46,2.72,27,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
