Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Reece Boyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 7:49:05 PM,1765050545,Fastball,N,16.37,25.96,73.8,1781.8,1509.7,84.73,1:28,1,18.2,9.4,-,-,-,-,-2.15,-0.94,6.11,-1.54,32.08,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Reeceboyle,high_intent,-
2,Sat Dec 06 2025 7:48:51 PM,1765050531,Splitter,N,22.07,13,64.66,1541.6,621.3,40.3,7:38,1,1.6,1.5,-,-,-,-,-3.14,0.94,5.78,-1.29,66.23,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Reeceboyle,high_intent,-
3,Sat Dec 06 2025 7:48:37 PM,1765050517,Slider,Y,-6.9,22.86,63.83,1902.19,417.5,21.95,6:22,1,-6.1,-7.3,-,-,-,-,-0.97,2.94,5.64,-0.91,77.32,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Reeceboyle,high_intent,-
4,Sat Dec 06 2025 7:48:23 PM,1765050503,Fastball,N,9.29,51.51,72.38,2026.74,1281.1,63.21,12:08,0.5,21.9,7.8,-,-,-,-,-1.74,0.5,6.36,-1.56,50.8,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Reeceboyle,high_intent,-
5,Sat Dec 06 2025 7:48:09 PM,1765050489,Fastball,N,3.52,15.6,72.12,1793.62,1515,84.46,1:10,1,20.7,5.1,-,-,-,-,-1.64,-1.88,6.13,-1.74,32.37,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Reeceboyle,high_intent,-
6,Sat Dec 06 2025 7:47:56 PM,1765050476,Slider,N,-1.23,2.8,63.89,1651.88,581.8,35.22,1:38,1,25.2,4.2,-,-,-,-,-0.86,-0.88,5.63,-1.31,69.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Reeceboyle,high_intent,-
7,Sat Dec 06 2025 7:47:43 PM,1765050463,Splitter,N,11.32,20.15,64.21,1808.71,556.2,30.75,1:42,1,10.6,-3.5,-,-,-,-,-2.63,1.31,5.56,-1.34,72.09,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Reeceboyle,high_intent,-
8,Sat Dec 06 2025 7:47:28 PM,1765050448,Fastball,N,33.06,29.81,72.76,1832.16,1162.6,63.46,12:16,1,10.6,11.5,-,-,-,-,-3.33,0.51,5.79,-1.44,50.61,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Reeceboyle,high_intent,-
9,Sat Dec 06 2025 7:47:15 PM,1765050435,Slider,N,13.11,45.83,65.26,2084.79,1599.2,76.71,7:48,1,-6,-10.1,-,-,-,-,-2.72,4.58,5.41,-0.59,39.91,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Reeceboyle,high_intent,-
10,Sat Dec 06 2025 7:47:00 PM,1765050420,Fastball,Y,3.8,26.89,72.33,1940.48,1084.5,55.89,12:12,1,17.7,6.4,-,-,-,-,-1.37,-1.5,5.98,-1.49,56.02,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Reeceboyle,high_intent,-
11,Sat Dec 06 2025 7:46:36 PM,1765050396,Slider,N,-5.32,7.56,64.96,2060.15,547.6,26.58,6:12,1,-5.1,-8.8,-,-,-,-,-1.45,1.49,5.53,-1.13,74.59,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Reeceboyle,high_intent,-
12,Sat Dec 06 2025 7:46:23 PM,1765050383,Fastball,Y,9.79,34.53,74.55,1953.24,1464.2,74.96,1:22,1,14.3,3.5,-,-,-,-,-2.07,0,6,-1.51,41.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Reeceboyle,high_intent,-
13,Sat Dec 06 2025 7:46:11 PM,1765050371,Fastball,Y,6.66,19.75,72.25,1892.98,1585.7,83.76,1:08,1,20.6,6.4,-,-,-,-,-1.62,-1.55,6.05,-1.56,33.11,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Reeceboyle,high_intent,-
