Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Tony Weber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 6:22:47 PM,1765045367,Slider,N,19.13,36.64,81.18,2133.89,2047.2,95.94,1:44,1,16.5,18,-,-,-,-,-0.22,-0.99,6.03,-0.12,16.39,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
2,Sat Dec 06 2025 6:22:33 PM,1765045353,Fastball,N,40.97,41.95,82.87,2078.8,1957.9,94.19,1:26,1,21.1,19.7,-,-,-,-,-1.88,-0.7,5.92,-0.07,19.63,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
3,Sat Dec 06 2025 6:22:16 PM,1765045336,Fastball,N,-2.9,45.84,81.76,2053.76,1624.1,79.08,1:02,1,16.6,12.2,-,-,-,-,0.98,-0.26,5.96,-0.36,37.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
4,Sat Dec 06 2025 6:21:58 PM,1765045318,ChangeUp,N,5.52,12.82,73.42,1426.76,1403.9,98.4,2:28,1,3.1,17.1,-,-,-,-,1.18,-0.54,5.73,0.18,-10.27,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
5,Sat Dec 06 2025 6:21:39 PM,1765045299,Fastball,N,18.58,45.67,79.41,1964.67,1860.6,94.71,12:48,1,15.1,13.9,-,-,-,-,-0.48,0.23,5.95,-0.06,18.73,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
6,Sat Dec 06 2025 6:21:16 PM,1765045276,Slider,N,23.64,37.33,67.64,1908.77,685.7,35.92,7:24,1,-4.3,-11.9,-,-,-,-,-2.63,3.36,5.65,0.44,68.95,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
7,Sat Dec 06 2025 6:20:55 PM,1765045255,ChangeUp,N,15.19,25,75.8,1186.64,1146.9,96.65,2:28,1,-1.6,18.3,-,-,-,-,0.78,0.87,5.68,0.5,-14.86,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
8,Sat Dec 06 2025 6:20:36 PM,1765045236,Fastball,N,35.08,20.73,79.96,1983.06,1871.6,94.38,1:48,1,22.5,21.8,-,-,-,-,-1.14,-3.08,6.18,0.02,19.3,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
9,Sat Dec 06 2025 6:20:14 PM,1765045214,Fastball,Y,-8.32,41.54,79.46,1948.86,1513.9,77.68,12:58,1,13.7,10.4,-,-,-,-,1.53,-0.3,6.02,-0.16,39.03,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
10,Sat Dec 06 2025 6:19:46 PM,1765045186,Fastball,N,32.27,56.14,80.69,2079.18,1966.9,94.6,1:24,1,16.5,16.8,-,-,-,-,-1.32,0.92,6.12,-0.01,18.92,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
12,Sat Dec 06 2025 6:19:00 PM,1765045140,Slider,Y,7.34,34.04,65.41,2225.4,2175.5,97.76,7:16,1,-12.3,-20.7,-,-,-,-,-2.22,3.78,5.92,0.19,12.16,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
13,Sat Dec 06 2025 6:18:38 PM,1765045118,Fastball,N,18.47,61.05,80.09,1950.24,1871.3,95.95,1:56,1,18.3,16.7,-,-,-,-,-0.08,1.37,6.15,0.07,16.35,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
14,Sat Dec 06 2025 6:18:00 PM,1765045080,Slider,N,22.05,67.64,71.4,2079.62,1621.8,77.99,8:16,1,-3.5,-21,-,-,-,-,-3.25,4.67,6.01,0.42,38.75,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
15,Sat Dec 06 2025 6:17:40 PM,1765045060,ChangeUp,N,9.37,12.32,76.56,1253.7,1252.7,99.92,2:34,1,7.3,22.8,-,-,-,-,1.58,-1.18,5.65,0.42,2.24,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
16,Sat Dec 06 2025 6:17:20 PM,1765045040,Fastball,N,31.05,31.57,82.44,1979.86,1880.8,95,1:22,1,15.8,19.6,-,-,-,-,-1.07,-1.22,6.09,-0.08,18.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
17,Sat Dec 06 2025 6:16:52 PM,1765045012,Slider,N,6.04,55.57,69.41,2442.5,2266.9,92.81,7:24,1,-9.7,-22.6,-,-,-,-,-2.43,4.78,5.93,0.03,21.86,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
18,Sat Dec 06 2025 6:16:34 PM,1765044994,ChangeUp,N,29.29,15.96,77.48,1417.35,1396.6,98.53,2:22,1,5.1,20.5,-,-,-,-,-0.27,-0.94,5.68,0.47,-9.82,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
19,Sat Dec 06 2025 6:16:16 PM,1765044976,Fastball,Y,9.33,35.92,84.32,2074.07,1962.7,94.63,12:46,1,15.1,17.7,-,-,-,-,0.5,-0.85,6.15,-0.2,18.87,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
20,Sat Dec 06 2025 6:15:56 PM,1765044956,Fastball,N,12.58,45.46,83.43,1973.44,1838.2,93.15,1:00,1,13.4,19.2,-,-,-,-,0.74,0.02,6.17,0.18,21.33,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
21,Sat Dec 06 2025 6:15:33 PM,1765044933,ChangeUp,N,24.34,19.2,74.84,1100.41,1100.4,100,2:40,1,-1.5,18.7,-,-,-,-,-0.18,0.73,5.56,0.29,0.05,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
22,Sat Dec 06 2025 6:15:13 PM,1765044913,Slider,N,-10.47,50.97,71.04,2079.21,1623.2,78.07,8:20,1,3.3,-20.2,-,-,-,-,-0.68,3.36,5.63,0.14,38.68,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,TonyWebber,high_intent,-
