Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Tyler Vogel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Thu Dec 18 2025 4:34:13 PM,1766075653,Fastball,N,-15.59,29.23,86.08,1324.73,1203,90.81,1:06,1,10.2,3.3,-,-,-,-,2.56,-1.5,6.14,0.85,24.76,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
2,Thu Dec 18 2025 4:34:00 PM,1766075640,Slider,N,-11.24,11.28,77.09,1465.8,1124.6,76.72,6:38,1,-4.9,-8.6,-,-,-,-,1.12,-0.69,6.07,0.84,39.9,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
3,Thu Dec 18 2025 4:33:43 PM,1766075623,Fastball,N,-27.53,14.82,86.43,1254.98,1123.6,89.53,1:48,1,10.9,7.6,-,-,-,-,4.03,-2.9,6.26,0.91,26.45,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
4,Thu Dec 18 2025 4:33:29 PM,1766075609,ChangeUp,N,22.69,14.73,78.9,1796.59,1724.3,95.98,1:34,1,20.9,14.9,-,-,-,-,0.8,-2.89,6.03,1.42,16.31,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Thu Dec 18 2025 4:33:16 PM,1766075596,Fastball,N,2.97,16.35,84.66,1341.55,1258,93.78,12:44,1,15,7,-,-,-,-,1.21,-3.04,6.28,0.81,20.32,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Thu Dec 18 2025 4:33:02 PM,1766075582,Slider,N,-3.92,12.29,75.32,1418.65,1144.2,80.65,7:00,1,-2.8,-7.8,-,-,-,-,0.91,-0.43,6.05,1.2,36.24,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Thu Dec 18 2025 4:32:46 PM,1766075566,Slider,N,19.88,41.12,76.28,1630.12,1222.2,74.98,6:40,1,4.1,-8.8,-,-,-,-,-1.14,1.34,5.95,1.31,41.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Thu Dec 18 2025 4:32:25 PM,1766075545,Fastball,N,-27.85,2.41,86.7,1283.01,1171,91.27,1:58,1,16.8,7.2,-,-,-,-,3.89,-4.53,6.39,0.82,24.12,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Thu Dec 18 2025 4:32:10 PM,1766075530,Fastball,N,-0.39,17.53,87.21,1416.28,1278.8,90.3,12:46,1,13.5,8.1,-,-,-,-,1.92,-2.93,6.19,1.11,25.45,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Thu Dec 18 2025 4:31:57 PM,1766075517,Fastball,Y,-6.61,40.54,85.84,1308.67,1206,92.16,1:02,1,13.4,4.5,-,-,-,-,1.96,-0.74,6.1,0.94,22.84,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Thu Dec 18 2025 4:31:18 PM,1766075478,ChangeUp,N,8.27,-18.71,76.6,1668.57,1634.5,97.96,1:40,1,17.4,10.2,-,-,-,-,1.38,-5.29,6.3,1.19,11.6,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Thu Dec 18 2025 4:31:03 PM,1766075463,Fastball,N,-6.59,11.59,86.53,1333.16,1209.3,90.71,12:54,1,10.3,6.7,-,-,-,-,2.04,-3.15,6.29,0.84,24.89,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
