Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Xavier Beckstead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 3:32:55 PM,1765035175,Fastball,N,13.33,52.16,82.67,1884.3,1616.6,85.79,1:32,1,15.9,8,-,-,-,-,-0.5,0.35,6.02,-0.03,30.92,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Xavier,high_intent,-
2,Sat Dec 06 2025 3:32:34 PM,1765035154,ChangeUp,N,10.64,24.21,76.75,1428.72,1428.5,99.99,1:32,1,10.6,14.6,-,-,-,-,0.99,-0.6,5.71,0.62,0.97,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Xavier,high_intent,-
3,Sat Dec 06 2025 3:32:15 PM,1765035135,Slider,N,-13.43,12.03,76.55,1197.96,1191,99.42,1:30,1,10.3,11.5,-,-,-,-,2.54,-1.88,5.89,0.38,6.18,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Xavier,high_intent,-
4,Sat Dec 06 2025 3:31:59 PM,1765035119,Fastball,N,-24.85,48.46,81.8,1977.84,1550.3,78.39,1:10,1,19,3.2,-,-,-,-,2.31,-0.31,6.08,-0.16,38.39,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Xavier,high_intent,-
5,Sat Dec 06 2025 3:31:34 PM,1765035094,Fastball,N,-6.69,44.76,81.51,1927.63,1429.4,74.16,1:22,1,14.6,2,-,-,-,-,0.99,-0.21,6.02,0.2,42.14,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Xavier,high_intent,-
6,Sat Dec 06 2025 3:31:16 PM,1765035076,CurveBall,N,3.52,9.34,70.57,2152.56,1075.2,49.95,6:16,1,-6.2,-6.4,-,-,-,-,-0.43,0.11,5.8,0.42,60.03,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Xavier,high_intent,-
7,Sat Dec 06 2025 3:31:00 PM,1765035060,CurveBall,N,-10.54,30.12,73.17,2226.91,1115.8,50.11,6:02,1,-5.3,-11.1,-,-,-,-,0.65,1.59,5.74,0.67,59.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Xavier,high_intent,-
8,Sat Dec 06 2025 3:30:38 PM,1765035038,Fastball,N,13.67,43.58,81.2,1834.03,1694.2,92.38,1:18,1,15.7,9,-,-,-,-,-0.11,-0.17,5.9,0.28,22.52,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Xavier,high_intent,-
9,Sat Dec 06 2025 3:30:15 PM,1765035015,Slider,Y,-5.93,33.09,73.79,1906.33,1085.3,56.93,8:00,1,-0.5,-6.2,-,-,-,-,0.82,1.67,5.48,0.8,55.3,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Xavier,high_intent,-
10,Sat Dec 06 2025 3:29:55 PM,1765034995,Slider,N,-14.58,20.97,74.77,1574.32,646.4,41.06,7:36,1,-4.9,-5.7,-,-,-,-,1.56,0.94,5.52,0.77,65.76,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Xavier,high_intent,-
