Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Zack Bedard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 6:51:15 PM,1765047075,Fastball,N,10.45,25.12,81.91,1878.91,1751.5,93.22,1:16,1,19.9,15,-,-,-,-,0.35,-2.69,6.2,-0.05,21.22,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
2,Sat Dec 06 2025 6:51:01 PM,1765047061,Fastball,N,14.51,25.02,81.07,1909.44,1779.9,93.22,1:20,1,16.8,15.6,-,-,-,-,0.13,-2.26,6.08,0.03,21.23,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
3,Sat Dec 06 2025 6:50:49 PM,1765047049,Fastball,Y,9.19,25.2,79.37,1782.52,1481.2,83.09,1:42,1,11.1,15.3,-,-,-,-,0.77,-1.28,5.95,0.22,33.8,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
4,Sat Dec 06 2025 6:50:34 PM,1765047034,Slider,N,-1.42,15.8,71.75,1995.69,373.2,18.7,5:42,1,3.7,-6,-,-,-,-,-0.02,-0.54,5.77,0.37,79.22,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
5,Sat Dec 06 2025 6:50:23 PM,1765047023,Slider,N,-23.52,41.69,73.89,2018.85,1149.4,56.93,9:56,1,6.7,-6,-,-,-,-,1.72,1.36,5.91,0.15,55.3,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
6,Sat Dec 06 2025 6:50:06 PM,1765047006,Fastball,N,-12.94,10.91,79.68,1753.25,1603.8,91.48,1:24,1,19.2,13.3,-,-,-,-,2.45,-3.49,6.11,0.12,23.83,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
7,Sat Dec 06 2025 6:49:51 PM,1765046991,Fastball,Y,8.41,26.63,81.49,1919.9,1627.2,84.75,1:48,1,16.3,14,-,-,-,-,0.69,-1.75,5.97,0.18,32.06,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
8,Sat Dec 06 2025 6:49:38 PM,1765046978,Fastball,Y,9.96,21.09,80.85,1843.93,1705,92.46,1:22,1,15.6,16.3,-,-,-,-,0.66,-2.32,6.08,0.1,22.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
9,Sat Dec 06 2025 6:49:25 PM,1765046965,Other,N,11.88,24.38,71.7,1761.89,871.4,49.46,3:18,1,2.3,3.4,-,-,-,-,-0.32,0.59,5.77,0.39,60.36,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
10,Sat Dec 06 2025 6:49:07 PM,1765046947,Other,N,-7.9,17.81,73.71,1789.99,738.7,41.27,3:10,1,4.8,0.5,-,-,-,-,1.27,-0.74,5.69,0.48,65.63,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
11,Sat Dec 06 2025 6:48:50 PM,1765046930,Fastball,N,10.32,41.72,80.8,1918.41,1785.7,93.08,1:28,1,16,12.5,-,-,-,-,0.29,-0.66,6.28,0.1,21.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
12,Sat Dec 06 2025 6:48:37 PM,1765046917,Slider,N,-17.28,18.54,73.17,2054.7,966.3,47.03,7:36,1,1.6,-7.5,-,-,-,-,1.05,-0.25,5.93,0.18,61.95,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
14,Sat Dec 06 2025 6:48:11 PM,1765046891,Slider,N,-0.56,11.53,71.86,1706.94,848.9,49.73,1:56,1,9.6,5.3,-,-,-,-,0.96,-1.38,5.86,0.44,60.18,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
15,Sat Dec 06 2025 6:47:57 PM,1765046877,CurveBall,N,0.26,9.85,73.12,1722.05,785.9,45.64,3:02,1,2.8,6.4,-,-,-,-,0.9,-0.88,5.85,0.36,62.85,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
16,Sat Dec 06 2025 6:47:43 PM,1765046863,Slider,N,-1.28,15.39,71.91,1504.7,703.3,46.74,3:00,1,4.7,6.2,-,-,-,-,0.82,-0.53,5.85,0.17,62.13,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
17,Sat Dec 06 2025 6:47:29 PM,1765046849,Fastball,Y,1.94,41.6,80.62,1936.03,1797.9,92.87,1:22,1,12.9,14.2,-,-,-,-,1.05,-0.14,5.99,-0.03,21.77,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
18,Sat Dec 06 2025 6:47:16 PM,1765046836,Fastball,Y,-5.45,22.8,81.15,1910.55,1750.2,91.61,1:26,1,15.4,10.6,-,-,-,-,1.54,-2.08,6.09,0.13,23.64,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
19,Sat Dec 06 2025 6:47:03 PM,1765046823,Fastball,N,16.02,26.34,81.08,1846.88,1729.8,93.66,1:20,1,17.3,12.4,-,-,-,-,-0.25,-2.11,5.96,0.07,20.51,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
20,Sat Dec 06 2025 6:46:48 PM,1765046808,Slider,N,-10.96,14.68,72.66,1926.12,439.3,22.81,11:40,1,6.5,-7.6,-,-,-,-,0.7,-1.03,5.96,0.38,76.82,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
21,Sat Dec 06 2025 6:46:37 PM,1765046797,Slider,N,-16.38,10.93,71.7,1985.53,521.3,26.26,6:06,1,-1.5,-7.2,-,-,-,-,1.05,-0.44,5.85,0.22,74.78,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
22,Sat Dec 06 2025 6:46:21 PM,1765046781,Slider,Y,-4.26,36.18,72.41,2218.94,2108.7,95.03,9:54,0.5,2.7,-7.7,-,-,-,-,0.17,1.05,5.98,0.45,-18.14,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
23,Sat Dec 06 2025 6:46:10 PM,1765046770,Slider,Y,5.79,36.76,72.41,1972.55,526.5,26.69,3:26,0.5,3.4,-5.1,-,-,-,-,-0.43,1.07,5.93,0.5,74.52,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
24,Sat Dec 06 2025 6:45:53 PM,1765046753,Splitter,N,-14.27,20.94,74.93,1785.69,936.2,52.43,2:50,1,9.7,4.7,-,-,-,-,2.04,-1,6.01,0.4,58.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
25,Sat Dec 06 2025 6:45:26 PM,1765046726,Splitter,Y,-6.79,22.76,73.37,1723.22,810.5,47.04,3:10,1,2.4,2.3,-,-,-,-,1.28,0.32,5.74,0.47,61.94,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
26,Sat Dec 06 2025 6:45:08 PM,1765046708,Fastball,N,17.01,36.92,81.95,1922.2,1808.9,94.11,1:20,1,15.8,19,-,-,-,-,0.2,-0.96,6.23,0.02,19.77,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
27,Sat Dec 06 2025 6:44:54 PM,1765046694,Fastball,N,14.61,35.21,80.81,1853.12,1716.6,92.63,1:24,1,19.9,14.5,-,-,-,-,0.24,-1.41,6.16,0.24,22.13,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
28,Sat Dec 06 2025 6:44:42 PM,1765046682,Fastball,Y,9.76,29.99,80.61,1936.55,1793.4,92.61,1:18,1,22.8,12,-,-,-,-,0.08,-1.99,6.14,-0.11,22.17,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
29,Sat Dec 06 2025 6:44:30 PM,1765046670,Fastball,Y,5.38,31.37,81.2,1860.55,1741.4,93.6,1:20,1,21.4,12.3,-,-,-,-,0.8,-1.7,6.01,0.19,20.62,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
30,Sat Dec 06 2025 6:44:19 PM,1765046659,Fastball,N,12.98,39.51,80.29,1844.63,1757.4,95.27,1:20,1,17.1,18.8,-,-,-,-,0.7,-0.78,6.19,0.19,17.69,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Bedard,high_intent,-
